spar100-025-1,,,,,,,,,,,,,
gap_closed_overall,,,,,,,,,,,,,
comb,opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.116410233,0.116410233,0.078036833,0.079449084,0.081973276,0.086643978,0.086112734,0.089286423,0.084977263,0.093540238,0.087026494,0.086389677,0.088074065,0.12254215
0.335433587,0.335433587,0.106085143,0.163261576,0.149440426,0.15232839,0.157001025,0.154990377,0.150623308,0.163976254,0.139577519,0.138464516,0.160740135,0.334409565
0.471506939,0.471506939,0.18803473,0.216086388,0.209235916,0.194761712,0.218181219,0.208793364,0.208339051,0.216189354,0.202572154,0.203632886,0.210054277,0.459086795
0.559518148,0.559518148,0.29261462,0.260979113,0.269526239,0.247153675,0.271097928,0.26149046,0.260599481,0.263439228,0.247028642,0.261365904,0.264448866,0.551635668
0.618229301,0.618229301,0.381773571,0.316345824,0.304829283,0.300343846,0.320172384,0.3136541,0.310151496,0.307403566,0.293644768,0.315146015,0.307295114,0.611140129
0.650932029,0.650641472,0.468018862,0.357358023,0.33800538,0.356157218,0.356765035,0.358990353,0.361594528,0.35582693,0.330894578,0.348862968,0.345528418,0.6451319
0.671795331,0.671103647,0.528661516,0.40830096,0.386416448,0.395948826,0.407117896,0.405071463,0.397340209,0.398329471,0.374713857,0.396463324,0.386521379,0.667622656
0.684321315,0.681404518,0.592605931,0.435611668,0.416716729,0.435393196,0.437838544,0.436822176,0.428477119,0.430272216,0.405599287,0.438160548,0.419237388,0.682333269
0.695227313,0.68861745,0.644620198,0.466261248,0.445903937,0.457879134,0.472021064,0.46613095,0.454309668,0.458219346,0.435368238,0.47088506,0.459328571,0.690096095
0.705053741,0.692841979,0.674382136,0.490536871,0.476777744,0.479410486,0.49677339,0.485690533,0.479337451,0.481865665,0.4683263,0.499494446,0.479441944,0.695125206
0.712298475,0.693941433,0.691542248,0.514050668,0.504796037,0.510327158,0.514960211,0.502984603,0.502805493,0.509739674,0.492070114,0.520560585,0.505330345,0.697265165
0.720484332,0.695011963,0.704314966,0.53514942,0.523244709,0.531929329,0.537790923,0.525498158,0.525880658,0.532321758,0.520092597,0.537000683,0.521767165,0.699133095
0.725949301,0.695542986,0.716779273,0.549597393,0.535819794,0.547372288,0.551040841,0.542453835,0.548967689,0.549099369,0.542789632,0.55307519,0.53664339,0.700303052
0.73125355,0.696023331,0.723859178,0.562778282,0.550550746,0.561676271,0.56811238,0.554402498,0.569338281,0.563920113,0.558730245,0.569921027,0.558892199,0.700351116
0.735278686,0.696340475,0.729072941,0.571672986,0.565560305,0.572159862,0.579181465,0.566026384,0.583490588,0.573946284,0.577910955,0.584201026,0.571048128,0.700400352
0.738632896,0.696668851,0.734046539,0.587050784,0.576363108,0.585247518,0.589483856,0.579285,0.595629621,0.591111076,0.590430939,0.595924108,0.582573903,0.700440049
0.741309308,0.696884278,0.737327783,0.599157639,0.587732883,0.599368774,0.60487003,0.589157479,0.607938152,0.600379483,0.600213527,0.608112248,0.592490413,0.700624592
0.74336242,0.696884395,0.740023586,0.607685771,0.599220142,0.607505272,0.613815451,0.597293699,0.619264266,0.61085662,0.613606834,0.617403072,0.601548214,0.700649749
0.744997194,0.696884398,0.742027419,0.616072518,0.610710167,0.616935842,0.622270488,0.606895025,0.624910191,0.621468228,0.622591804,0.626997922,0.607156453,0.700654131
0.746315315,0.696884398,0.744061796,0.626251865,0.61850965,0.622257421,0.631046653,0.617939993,0.63246803,0.630034803,0.632273234,0.636635498,0.615517067,0.700654766
gap_closed_per_nb_cuts_used,,,,,,,,,,,,,
comb,opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001012263,0.001012263,0.000678581,0.000993114,0.001092977,0.001007488,0.000978554,0.001026281,0.001049102,0.001039336,0.001087831,0.001028449,0.001087334,0.001065584
0.001458407,0.001458407,0.00046124,0.001095715,0.001052397,0.000928832,0.000981256,0.000933677,0.000990943,0.001018486,0.00095601,0.000923097,0.001004626,0.001453955
0.001366687,0.001366687,0.000545028,0.000986696,0.00097319,0.00083949,0.000920596,0.000859232,0.000921854,0.000927851,0.000937834,0.000881528,0.000929444,0.001330686
0.001216344,0.001216344,0.000636119,0.000887684,0.000916756,0.000805061,0.000860628,0.000812082,0.000865779,0.000841659,0.000851823,0.000829733,0.000872769,0.001199208
0.001075181,0.001075181,0.000663954,0.000830304,0.00084207,0.000760364,0.000802437,0.000776372,0.000824871,0.000772371,0.000785146,0.000783945,0.000808671,0.001062852
0.00094338,0.000949842,0.000678288,0.000785402,0.000768194,0.000737386,0.000740176,0.000720864,0.00076935,0.000736702,0.000713135,0.000720791,0.000741477,0.000934974
0.000834528,0.000853821,0.000656722,0.000739676,0.000726347,0.000697093,0.000711745,0.000681938,0.000705755,0.000689151,0.000683784,0.000685923,0.00070662,0.000829345
0.000743828,0.000771693,0.000644137,0.00068817,0.000665682,0.000658689,0.000664398,0.000633076,0.000654164,0.000638386,0.000639747,0.000655929,0.000654036,0.000741667
0.000671717,0.000710648,0.000622821,0.000640469,0.000619311,0.000608073,0.000628523,0.000594555,0.000608994,0.000594318,0.000598033,0.000622864,0.000622396,0.00066676
0.00061309,0.000676603,0.000586419,0.000598216,0.000585003,0.000571407,0.000585818,0.000553809,0.000565924,0.000562927,0.00057113,0.000591118,0.000576946,0.000612985
0.000563082,0.000663424,0.000546674,0.000564891,0.000554112,0.000548149,0.000548413,0.000516942,0.000533198,0.000538837,0.000537782,0.000560345,0.000547487,0.000586924
0.00052209,0.000648937,0.000510373,0.000537299,0.0005222,0.000520989,0.0005257,0.000498103,0.000512055,0.000515816,0.000515965,0.000533268,0.000514056,0.000568401
0.000485585,0.000639286,0.000479451,0.000509831,0.000499366,0.000498064,0.000498679,0.000481325,0.00049412,0.000492908,0.000494795,0.000507874,0.000491432,0.00055801
0.000454195,0.000630456,0.000449602,0.000485572,0.000483788,0.000478022,0.000480637,0.000461233,0.000476434,0.0004719,0.000479597,0.000486696,0.000474845,0.0005532
0.000426249,0.000620072,0.000422651,0.000465911,0.000466249,0.000456268,0.000460033,0.000442208,0.000463088,0.000451571,0.000465682,0.000466987,0.000459042,0.000551496
0.000401431,0.000612187,0.000398938,0.000454374,0.000449932,0.000441696,0.000442555,0.000427201,0.000445164,0.00044047,0.000448656,0.000449076,0.000444035,0.000549365
0.000379186,0.000605986,0.00037715,0.000437981,0.000436004,0.000432133,0.00042929,0.000412864,0.000430856,0.000423399,0.000433054,0.000435923,0.00042872,0.00054822
0.000359112,0.000601281,0.000357499,0.000419672,0.000421096,0.000417529,0.000415301,0.000400331,0.000419556,0.000412462,0.000422594,0.000423459,0.000413435,0.000546103
0.00034096,0.000596648,0.000339601,0.000408536,0.000409049,0.000405079,0.000404334,0.000390035,0.00040605,0.000400173,0.00041014,0.000411686,0.000400763,0.000544409
0.000324485,0.000592085,0.000323505,0.000398379,0.000397244,0.000391603,0.000392931,0.000381209,0.000394061,0.000390598,0.000397656,0.000402679,0.000390062,0.000543143
percent_valid_cuts_found,,,,,,,,,,,,,
comb,opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact
1,1,1,0.695652174,0.652173913,0.747826087,0.765217391,0.756521739,0.704347826,0.782608696,0.695652174,0.730434783,0.704347826,1
1,1,1,0.6,0.582608696,0.67826087,0.626086957,0.686956522,0.617391304,0.617391304,0.573913043,0.573913043,0.686956522,1
1,1,1,0.608695652,0.634782609,0.591304348,0.669565217,0.669565217,0.643478261,0.626086957,0.608695652,0.704347826,0.573913043,1
1,1,1,0.652173913,0.686956522,0.652173913,0.67826087,0.686956522,0.652173913,0.695652174,0.643478261,0.730434783,0.669565217,1
1,1,1,0.756521739,0.591304348,0.765217391,0.730434783,0.713043478,0.652173913,0.739130435,0.730434783,0.756521739,0.669565217,1
1,0.956521739,1,0.643478261,0.67826087,0.765217391,0.72173913,0.817391304,0.817391304,0.739130435,0.782608696,0.713043478,0.747826087,1
1,0.87826087,1,0.843478261,0.8,0.739130435,0.782608696,0.834782609,0.808695652,0.826086957,0.730434783,0.817391304,0.704347826,1
1,0.843478261,1,0.704347826,0.817391304,0.808695652,0.756521739,0.834782609,0.8,0.834782609,0.747826087,0.782608696,0.817391304,1
1,0.747826087,1,0.826086957,0.817391304,0.8,0.8,0.817391304,0.791304348,0.843478261,0.817391304,0.765217391,0.843478261,1
1,0.47826087,1,0.8,0.826086957,0.747826087,0.843478261,0.808695652,0.87826087,0.739130435,0.8,0.773913043,0.808695652,0.860869565
1,0.191304348,1,0.782608696,0.834782609,0.8,0.791304348,0.834782609,0.834782609,0.782608696,0.826086957,0.730434783,0.8,0.469565217
1,0.217391304,1,0.747826087,0.791304348,0.782608696,0.730434783,0.713043478,0.730434783,0.747826087,0.808695652,0.67826087,0.8,0.365217391
1,0.147826087,1,0.713043478,0.617391304,0.67826087,0.713043478,0.626086957,0.730434783,0.713043478,0.773913043,0.713043478,0.669565217,0.217391304
1,0.139130435,1,0.704347826,0.565217391,0.660869565,0.669565217,0.652173913,0.730434783,0.704347826,0.591304348,0.713043478,0.739130435,0.095652174
1,0.165217391,1,0.591304348,0.652173913,0.686956522,0.669565217,0.67826087,0.565217391,0.660869565,0.660869565,0.695652174,0.582608696,0.034782609
1,0.130434783,1,0.565217391,0.591304348,0.617391304,0.634782609,0.660869565,0.67826087,0.617391304,0.652173913,0.660869565,0.591304348,0.043478261
1,0.104347826,1,0.660869565,0.582608696,0.539130435,0.669565217,0.617391304,0.634782609,0.660869565,0.608695652,0.591304348,0.608695652,0.026086957
1,0.07826087,1,0.695652174,0.652173913,0.591304348,0.6,0.565217391,0.565217391,0.547826087,0.573913043,0.547826087,0.634782609,0.043478261
1,0.07826087,1,0.52173913,0.608695652,0.591304348,0.530434783,0.556521739,0.547826087,0.626086957,0.573913043,0.565217391,0.52173913,0.034782609
1,0.07826087,1,0.556521739,0.556521739,0.573913043,0.582608696,0.565217391,0.573913043,0.52173913,0.626086957,0.504347826,0.547826087,0.026086957
