size,density,BGL_nb_cuts,M+tri_nb_cuts,M+tri+S^E_3_nb_cuts,M+tri+S^E_3-5_nb_cuts
Small,Low,2843.63,3032.2,2743.42,790.37
,Medium,5130.94,5085.99,5262.12,2368.78
,High,3502.33,3874.27,6116.46,4115.55
Medium,Low,7415.63,7211.81,7022.82,2454.53
,Medium,18883.88,19540.85,20445.77,15012.26
,High,22894.28,33316.43,39979.5,71558.93
Large,Low,23834.56,24889.18,25018.98,11807.31
,Medium,24983.27,27890.25,37158.31,54733.33
,High,33019.27,46427.36,57830.0,144118.66
Jumbo,Low,42937.89,49614.19,49181.3,37858.37
,Medium,25697.97,36828.89,65750.06,165480.88
,High,48989.79,62006.95,62006.95,354370.41
