cuts_round,gap_closed,percent_same_sel
1,0.5625506962546701,0.94
2,0.8582014668752861,0.9
3,0.9419402992368999,0.76
4,0.9719488641443323,0.67
cuts_round,cut_number,sel_estim,sel_exact,estim_measure,exact_measure
1,1009,1,1,36.80755494039114,38.597220037909636
1,876,1,1,35.39326835769151,35.479588464157025
1,289,1,1,32.72598400168673,32.78316262602249
1,502,1,1,32.64372042688893,34.38473301313071
1,628,1,1,32.27267546936138,31.87499834944593
1,538,1,1,31.4946177503625,33.40878004734178
1,831,1,1,31.41698313566033,32.099997235449734
1,1006,1,1,31.221675083930418,32.273643745267194
1,288,1,1,31.131897215200244,31.90808710144394
1,455,1,1,30.657210323290833,32.30555308840256
1,969,1,1,30.50262223839072,29.846937170493874
1,885,1,1,29.73529085422927,30.613888328419197
1,534,1,1,29.649587825025833,28.999996155223844
1,256,1,1,29.566089093030122,29.84999728678576
1,503,1,1,29.195818372137218,31.08881448286951
1,877,1,1,28.96071265304961,29.102040514212867
1,863,1,1,28.720978071229506,30.122772325206945
1,545,1,1,28.657457985794338,30.067238526745086
1,412,1,1,27.75177999936741,28.963398491531166
1,420,1,1,27.58749089852133,27.46428267440302
1,535,1,1,27.42988825934529,26.99999924472962
1,857,1,1,27.410469504874627,28.792091531694652
1,527,1,1,27.31513007879681,28.49285675206884
1,250,1,1,27.05732765899645,28.779255114685967
1,304,1,1,26.832437895815236,26.499999484056733
1,556,1,1,26.746313220916715,27.966215972797393
1,43,1,1,26.592048727335488,27.679989656179004
1,772,1,1,26.580367568453582,27.399996583021586
1,622,1,1,26.36697094540665,27.34999935728527
1,309,1,1,26.15720932171201,25.628376466950833
1,195,1,1,25.99919424716168,26.24999959723514
1,419,1,1,25.814102713335018,25.24999523570053
1,191,1,1,25.558070578218565,25.628673636481196
1,468,1,1,25.480457801325265,26.413887514568152
1,262,1,1,25.425093918023993,25.374997513568033
1,292,1,1,25.37936884812629,25.597501288662603
1,325,1,1,25.297136612073956,24.999998456504244
1,322,1,1,25.272562444183322,25.999999162085572
1,801,1,1,25.11997261970223,25.104590666145935
1,423,1,1,25.064013015415846,25.38774799372557
1,179,1,1,24.9243357663697,26.928571283582002
1,550,1,1,24.9025860863408,26.240607388609323
1,1007,1,1,24.76349901434854,23.99999293005368
1,290,1,1,24.761545328888914,24.882372049560036
1,209,1,1,24.722537271549875,26.205553772994733
1,140,1,1,24.720619901820463,23.99999957557998
1,912,1,1,24.647349290460355,23.74999802698358
1,533,1,1,24.603490672459607,24.729589596342844
1,175,1,1,24.587825192967138,24.449339638051576
1,708,1,1,24.3420250334473,23.49744854840119
1,1008,1,1,24.26227006737713,24.499998604624977
1,178,1,1,24.237296835308268,24.495783349965844
1,141,1,1,24.174933851627237,23.750272250412486
1,1001,1,1,24.10578456586441,23.499996702959706
1,194,1,1,24.051134937889103,24.52941033570272
1,253,1,1,24.01019326863871,24.096937199156375
1,832,1,1,23.977960940293926,23.499998077090147
1,996,1,1,23.944808573142083,23.499999646250757
1,469,1,1,23.895804399660705,25.11148629487118
1,889,1,1,23.846142120713765,24.930553071881427
1,941,1,1,23.773732373794616,23.499996556116372
1,384,1,1,23.753196732420427,23.119895532616322
1,643,1,1,23.74010973265686,25.092339590566386
1,388,1,1,23.679652735684932,23.780404384791897
1,803,1,1,23.357975433596927,23.349994706970346
1,305,1,1,23.162261689332144,23.336483991941005
1,222,1,1,23.136130286294353,23.34722095317513
1,641,1,1,23.04107488195069,24.58055295758153
1,207,1,1,23.03356521298206,24.451404392652435
1,257,1,1,22.827006669614605,21.749998866210582
1,243,1,1,22.767811146997566,23.30646819643121
1,1045,1,1,22.682016337402118,23.024997512437423
1,960,1,1,22.635085448136415,24.43393459697287
1,499,1,1,22.54576344754183,21.749999377258877
1,1010,1,1,22.411304439461514,21.999999126527207
1,942,1,1,22.24324860011963,21.584816885814085
1,294,1,1,22.199894992603056,21.84999738292697
1,1002,1,1,22.13181159868362,21.802838420475233
1,1032,1,1,22.109066545073873,24.224999672887815
1,265,1,1,21.968730900819324,21.622218823621083
1,913,1,1,21.961466752342503,21.749999377924567
1,856,1,1,21.94920846313972,21.99721641394902
1,588,1,1,21.87238720218322,21.454079083483858
1,393,1,1,21.859901303652162,22.372448901503077
1,1012,1,1,21.75432579078918,21.49999957245663
1,362,1,1,21.72198744646319,20.834180898224737
1,258,1,1,21.719972485426702,20.499999345630005
1,1011,1,1,21.272037987258724,21.284256075967534
1,286,1,1,21.251164966516786,20.811223618108734
1,489,1,0,21.223143739406037,20.249998574371585
1,281,1,1,21.154620928527045,21.435343998957336
1,435,1,1,20.98883171758481,21.385135037238705
1,952,1,0,20.957261138699273,19.749997226214262
1,291,1,0,20.94250748988026,20.249995808487256
