spar040-030-1,,,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,,,
40,30,12,,,,,,,,,,,,,
Bounds:,,,,,,,,,,,,,,,
opt_nn,feas,comb,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,dense,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999661
0.322711048,0.191360897,0.322711048,0.229643475,0.134560835,0.140803727,0.248001166,0.16610519,0.077623626,0.123428555,0.219054558,0.213333676,0.171293338,0.322711048,0,0.999999661
0.646993762,0.361473182,0.646993762,0.304176143,0.263660652,0.21044847,0.428068741,0.285762177,0.186155471,0.256557867,0.320669421,0.345320116,0.315039934,0.668499593,0,0.999999661
0.82683966,0.524369123,0.82683966,0.39753572,0.448869636,0.355732954,0.519244648,0.397183929,0.232116541,0.307132779,0.451285443,0.416475774,0.428361694,0.830075703,0,0.999999661
0.902903598,0.656716904,0.902903598,0.455801351,0.591592892,0.448150267,0.607997597,0.478354327,0.332206934,0.43851021,0.633191639,0.468661543,0.463238309,0.893595313,0,0.999999661
0.938314616,0.783844072,0.938314616,0.516957348,0.678711696,0.506469856,0.676026044,0.544386648,0.406318114,0.507858789,0.66718083,0.545101817,0.496323289,0.935929861,0,0.999999661
0.960118301,0.8511173,0.964033499,0.592203897,0.713192415,0.595090028,0.731174169,0.629608893,0.548715932,0.60992003,0.762175785,0.635722207,0.610001265,0.963303446,0.009974876,0.999999661
0.96837615,0.890576977,0.974806185,0.664785307,0.716100504,0.622528588,0.757418529,0.779188168,0.654449756,0.643336286,0.775806245,0.698625518,0.687678773,0.981188461,0.121851693,0.999999661
0.973510253,0.917607707,0.980869433,0.706459265,0.728789947,0.635367084,0.817428763,0.791373869,0.701315225,0.719351894,0.7944656,0.75636381,0.756134533,0.988188132,0.204906736,0.999999661
0.976126416,0.95435744,0.984611931,0.77659386,0.764056498,0.672845679,0.828667294,0.814482812,0.747189316,0.743843376,0.810936053,0.796505308,0.789649173,0.992001895,0.253837768,0.999999661
