spar040-030-1,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,
40,30,12,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999551
0.322711048,0.191360897,0.229643475,0.134560835,0.140803727,0.248001166,0.16610519,0.077623626,0.123428555,0.219054558,0.213333676,0.171293338,0.322711048,0.999999551
0.646993762,0.361473182,0.304176143,0.263660652,0.21044847,0.428068741,0.285762177,0.186155471,0.256557867,0.320669421,0.345320116,0.315039934,0.668499593,0.999999551
0.82683966,0.453131085,0.39753572,0.448869636,0.355732954,0.519244648,0.397183929,0.232116541,0.307132779,0.451285443,0.416475774,0.428361694,0.830075703,0.999999551
0.902903598,0.643089519,0.455801351,0.591592892,0.448150267,0.607997597,0.478354327,0.332206924,0.43851021,0.633191639,0.468661543,0.463238309,0.893595313,0.999999551
0.938314616,0.692883304,0.516957348,0.678711696,0.506469856,0.676026044,0.544386648,0.406318112,0.507858789,0.66718083,0.545101817,0.496323289,0.935929861,0.999999551
0.960118301,0.81641871,0.592203897,0.713192415,0.595090028,0.731174169,0.629608893,0.548715937,0.60992003,0.762175785,0.635722208,0.610001265,0.963303446,0.999999551
0.96837615,0.869619968,0.664785307,0.716100504,0.622528588,0.757418529,0.779188168,0.65444976,0.643336278,0.775806245,0.698625519,0.687678773,0.981188461,0.999999551
0.973510253,0.908086531,0.706459265,0.728789947,0.635367084,0.817428763,0.791373869,0.701315225,0.719351903,0.7944656,0.75636381,0.756134533,0.988188132,0.999999551
0.976126416,0.932234045,0.77659386,0.764056498,0.672845679,0.828667294,0.814482812,0.747189315,0.743843425,0.810936053,0.79650531,0.789649173,0.992001895,0.999999551
0.978945569,0.965554936,0.806669587,0.783795118,0.725502814,0.842903951,0.826454666,0.765758032,0.795575369,0.853244261,0.825371276,0.864056529,0.994275457,0.999999551
0.980747109,0.979171076,0.854881699,0.80239042,0.752991268,0.87006111,0.873070917,0.792319846,0.827313287,0.868087989,0.832572985,0.874906554,0.995478689,0.999999551
0.981393872,0.98965959,0.87480002,0.816974861,0.793942365,0.888565778,0.894768112,0.80756172,0.853457712,0.878869647,0.835833151,0.893019086,0.995558626,0.999999551
0.981868594,0.994343126,0.88419513,0.845778573,0.834168803,0.899731636,0.903109859,0.828003352,0.861390443,0.897577444,0.838707158,0.901624436,0.995558626,0.999999551
0.981999861,0.99631976,0.899069778,0.852782824,0.876651489,0.906470641,0.915167361,0.845402389,0.86531191,0.911188742,0.855463851,0.909158786,0.995558626,0.999999551
0.982566318,0.998320221,0.902671652,0.860277694,0.87998158,0.918433969,0.920241858,0.855502728,0.886593335,0.91979122,0.892402473,0.916604746,0.995558626,0.999999551
0.984779024,0.998908183,0.907526492,0.879708196,0.885665552,0.920966105,0.922317786,0.870496325,0.898484892,0.933003076,0.89707309,0.928060857,0.995558626,0.999999551
0.984970205,0.999828387,0.914316406,0.909614398,0.888976963,0.937815149,0.923530039,0.890200852,0.902140306,0.933675426,0.900799967,0.939873237,0.995558626,0.999999551
0.985009674,0.999878124,0.917470208,0.913853556,0.90300834,0.942538307,0.935227938,0.906180043,0.912632754,0.936881873,0.901733149,0.947201441,0.995558626,0.999999551
