Optimality selection (neural nets) for M+S^(bar(E))_3 with selection size 0.1 and up to 20 cut rounds,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.970573901,1105,596
spar020-100-2,20,100,0.874087642,1105,638
spar020-100-3,20,100,0.97293697,1122,694
spar030-060-1,30,60,0.809947591,2786,1217
spar030-060-2,30,60,0.999634639,2565,938
spar030-060-3,30,60,0.847313329,3034,1161
spar030-070-1,30,70,0.778306986,3116,1413
spar030-070-2,30,70,0.948085989,2953,1084
spar030-070-3,30,70,0.894062488,3459,1216
spar030-080-1,30,80,0.803150109,3438,1628
spar030-080-2,30,80,0.988117403,3240,1386
spar030-080-3,30,80,0.995738721,3656,1441
spar030-090-1,30,90,0.887199084,3760,1906
spar030-090-2,30,90,0.86725169,3811,1867
spar030-090-3,30,90,0.92203776,3691,1894
spar030-100-1,30,100,0.826363097,4005,1807
spar030-100-2,30,100,0.803012951,4005,2143
spar030-100-3,30,100,0.853283115,4005,2034
spar040-030-1,40,30,0.987911937,3180,761
spar040-030-2,40,30,0.921438715,3320,605
spar040-030-3,40,30,0.912316087,3105,766
spar040-040-1,40,40,0.775492463,5044,1677
spar040-040-2,40,40,0.917142734,5191,1464
spar040-040-3,40,40,0.797129609,4738,1839
spar040-050-1,40,50,0.812400761,6348,2156
spar040-050-2,40,50,0.838458359,6351,1900
spar040-050-3,40,50,0.853942073,6437,2311
spar040-060-1,40,60,0.794770338,7187,2767
spar040-060-2,40,60,0.9025868,6895,2485
spar040-060-3,40,60,0.948947906,7312,2880
spar040-070-1,40,70,0.86023583,7591,2839
spar040-070-2,40,70,0.859544348,7922,2908
spar040-070-3,40,70,0.867138048,8306,3005
spar040-080-1,40,80,0.831092383,8913,3528
spar040-080-2,40,80,0.837090158,8102,3671
spar040-080-3,40,80,0.855493901,9103,3762
spar040-090-1,40,90,0.81652131,9574,3993
spar040-090-2,40,90,0.806311166,9604,3969
spar040-090-3,40,90,0.852628468,9508,4288
spar040-100-1,40,100,0.825776802,9769,4174
spar040-100-2,40,100,0.784731986,9805,4428
spar040-100-3,40,100,0.718545722,9734,4540
spar050-030-1,50,30,0.931142913,8365,2034
spar050-030-2,50,30,0.762868408,7890,1932
spar050-030-3,50,30,0.800385801,8111,2191
spar050-040-1,50,40,0.837924576,11134,3258
spar050-040-2,50,40,0.826084698,10210,3156
spar050-040-3,50,40,0.886241306,10248,3073
spar050-050-1,50,50,0.722826889,13253,4422
spar050-050-2,50,50,0.790525905,12117,3987
spar050-050-3,50,50,0.810948138,13618,4824
spar060-020-1,60,20,0.822350572,10426,2373
spar060-020-2,60,20,0.964876303,8480,2245
spar060-020-3,60,20,0.744862286,8704,2427
spar070-025-1,70,25,0.775594732,22446,4977
spar070-025-2,70,25,0.716641152,21894,5329
spar070-025-3,70,25,0.783542945,23426,6454
spar070-050-1,70,50,0.771279661,40277,10637
spar070-050-2,70,50,0.801836829,37855,9938
spar070-050-3,70,50,0.852663508,39004,10325
spar070-075-1,70,75,0.741476533,48838,16898
spar070-075-2,70,75,0.719294161,49873,18641
spar070-075-3,70,75,0.728085177,49682,17724
spar080-025-1,80,25,0.780618108,35323,7469
spar080-025-2,80,25,0.689533868,36374,8364
spar080-025-3,80,25,0.764732372,41078,9581
spar080-050-1,80,50,0.716746131,62862,14673
spar080-050-2,80,50,0.787279984,59693,13633
spar080-050-3,80,50,0.771693412,61874,13875
spar080-075-1,80,75,0.722542175,75163,18052
spar080-075-2,80,75,0.72659596,74359,19557
spar080-075-3,80,75,0.724914824,75388,17452
spar090-025-1,90,25,0.717457808,58353,12277
spar090-025-2,90,25,0.735479403,57881,11026
spar090-025-3,90,25,0.748882142,59969,12006
spar090-050-1,90,50,0.737444897,89966,13987
spar090-050-2,90,50,0.771803442,89897,14464
spar090-050-3,90,50,0.770075895,90172,14794
spar090-075-1,90,75,0.679707901,107376,21310
spar090-075-2,90,75,0.682110512,108584,21031
spar090-075-3,90,75,0.690047712,108621,21067
spar100-025-1,100,25,0.705586003,82504,12776
spar100-025-2,100,25,0.716295316,78435,13016
spar100-025-3,100,25,0.738141907,78307,11385
spar100-050-1,100,50,0.699936152,129027,16297
spar100-050-2,100,50,0.717378346,128795,15318
spar100-050-3,100,50,0.722556558,126877,16410
spar100-075-1,100,75,0.676056611,149692,22934
spar100-075-2,100,75,0.679063422,149038,22163
spar100-075-3,100,75,0.68203819,149087,22023
spar125-025-1,125,25,0.674038252,187825,13945
spar125-025-2,125,25,0.714111953,186028,13214
spar125-025-3,125,25,0.732129997,187196,11551
spar125-050-1,125,50,0.683695227,257490,17788
spar125-050-2,125,50,0.68226952,256087,18296
spar125-050-3,125,50,0.686065077,260654,18470
spar125-075-1,125,75,0.662448009,301569,28353
spar125-075-2,125,75,0.645737959,301543,28690
spar125-075-3,125,75,0.65237445,297483,28617
