Feasibility selection for M+S^E_3 with selection size 0.05 and up 20 cut rounds 
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9826377640677657,1051,624
spar020-100-2,20,100,0.8906656138975615,1070,583
spar020-100-3,20,100,0.9845010054492379,1086,702
spar030-060-1,30,60,0.8263805061860677,756,666
spar030-060-2,30,60,0.9962820245008797,668,297
spar030-060-3,30,60,0.8588559795236543,1197,826
spar030-070-1,30,70,0.7940076026149827,1200,960
spar030-070-2,30,70,0.9636357538121301,1174,812
spar030-070-3,30,70,0.9154504936913136,1470,876
spar030-080-1,30,80,0.8137696732743428,2003,1500
spar030-080-2,30,80,0.9965383977025136,1780,1068
spar030-080-3,30,80,0.9988718020598394,2083,1248
spar030-090-1,30,90,0.895802352418196,2551,1778
spar030-090-2,30,90,0.8792124943547354,2956,1764
spar030-090-3,30,90,0.9313996057146929,2643,1716
spar030-100-1,30,100,0.8380599158451741,3838,2101
spar030-100-2,30,100,0.809723801629132,3923,2156
spar030-100-3,30,100,0.867562347874133,3865,2123
spar040-030-1,40,30,0.9995632116331907,243,192
spar040-030-2,40,30,0.9638959111565698,281,224
spar040-030-3,40,30,0.9579344848917698,234,209
spar040-040-1,40,40,0.7958581423643457,567,560
spar040-040-2,40,40,0.9576356705806743,613,540
spar040-040-3,40,40,0.8134453907668585,621,620
spar040-050-1,40,50,0.8266506540768025,1114,935
spar040-050-2,40,50,0.8577697062923427,1217,960
spar040-050-3,40,50,0.8672356595017446,1266,1008
spar040-060-1,40,60,0.8030729426825302,1861,1395
spar040-060-2,40,60,0.9167121004320475,1619,1200
spar040-060-3,40,60,0.9631283444355476,2381,1666
spar040-070-1,40,70,0.8704135159940746,2995,1937
spar040-070-2,40,70,0.8724265474594239,2889,2016
spar040-070-3,40,70,0.877449407848759,3347,2171
spar040-080-1,40,80,0.8394874213278063,4742,2607
spar040-080-2,40,80,0.8468080300280552,4520,2938
spar040-080-3,40,80,0.8638557329307962,5418,3240
spar040-090-1,40,90,0.8232348205632548,6491,3564
spar040-090-2,40,90,0.8154051419950323,7002,3850
spar040-090-3,40,90,0.8639044619552111,6906,3795
spar040-100-1,40,100,0.8361006227311466,9395,4690
spar040-100-2,40,100,0.7896591586771503,9579,4780
spar040-100-3,40,100,0.7251886388006809,9251,4620
spar050-030-1,50,30,0.9711698636143832,467,460
spar050-030-2,50,30,0.8027393503917633,514,500
spar050-030-3,50,30,0.8235290669003464,479,460
spar050-040-1,50,40,0.8566064751050421,1078,1060
spar050-040-2,50,40,0.8471885476268151,1310,1170
spar050-040-3,50,40,0.9077609838043046,1186,1180
spar050-050-1,50,50,0.7369411784171191,2400,2040
spar050-050-2,50,50,0.8057420487017533,2323,1740
spar050-050-3,50,50,0.8218237455339787,2548,2159
spar060-020-1,60,20,0.8218551854836527,275,260
spar060-020-2,60,20,0.9975044467830134,322,304
spar060-020-3,60,20,0.7581373010827842,330,320
spar070-025-1,70,25,0.7928448353634842,787,780
spar070-025-2,70,25,0.7253732778497769,736,720
spar070-025-3,70,25,0.8125564211018278,915,900
spar070-050-1,70,50,0.7856706565624941,6608,4290
spar070-050-2,70,50,0.8178826766723342,5287,3960
spar070-050-3,70,50,0.8676352526647052,6058,3926
spar070-075-1,70,75,0.7438114490977392,22200,11100
spar070-075-2,70,75,0.7224819948380231,21114,10550
spar070-075-3,70,75,0.7316101381873963,21320,10660
spar080-025-1,80,25,0.8182087100502072,1217,1200
spar080-025-2,80,25,0.7029850951343721,1062,1060
spar080-025-3,80,25,0.7912647797978537,1319,1300
spar080-050-1,80,50,0.7297480140458011,10258,6656
spar080-050-2,80,50,0.8058673888490576,8680,5642
spar080-050-3,80,50,0.784968561013693,8863,5759
spar080-075-1,80,75,0.7270523027263338,33045,14868
spar080-075-2,80,75,0.7321260174697253,31783,15890
spar080-075-3,80,75,0.7312559473963899,32786,14751
spar090-025-1,90,25,0.7503001422766552,1839,1820
spar090-025-2,90,25,0.7642333909708123,1737,1720
spar090-025-3,90,25,0.786011919974972,1872,1860
spar090-050-1,90,50,0.7537654107775775,14205,8520
spar090-050-2,90,50,0.7910111385806767,12738,7632
spar090-050-3,90,50,0.7875443726346699,12780,7668
spar090-075-1,90,75,0.6858388929907386,47607,21420
spar090-075-2,90,75,0.687073209263625,46098,20736
spar090-075-3,90,75,0.6966138267360005,46718,21015
spar100-025-1,100,25,0.7363164528501909,2306,2300
spar100-025-2,100,25,0.7448762291123341,2332,2320
spar100-025-3,100,25,0.7741025739169354,2468,2460
spar100-050-1,100,50,0.7148306290080153,20119,12060
spar100-050-2,100,50,0.7342195800361563,18045,10824
spar100-050-3,100,50,0.7399439487269374,18378,11016
spar100-075-1,100,75,0.6817583443202,64945,32470
spar100-075-2,100,75,0.6857278994193008,63004,28350
spar100-075-3,100,75,0.6889356760238433,64757,29133
spar125-025-1,125,25,0.7117081579720193,5219,5200
spar125-025-2,125,25,0.7503944078892112,5356,5340
spar125-025-3,125,25,0.7649919813701374,5212,4940
spar125-050-1,125,50,0.7067767399995881,39432,21681
spar125-050-2,125,50,0.7030979678214668,40048,20020
spar125-050-3,125,50,0.707326554202271,40525,22286
spar125-075-1,125,75,0.6711436997034769,133242,50000
spar125-075-2,125,75,0.6536179994489544,132145,55000
spar125-075-3,125,75,0.6613729111406786,129267,55000
