Optimality selection (neural nets) for M+S^E_3 with selection size 0.05 and up 20 cut rounds 
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9649162014095203,1051,447
spar020-100-2,20,100,0.8673366475295404,1070,417
spar020-100-3,20,100,0.9638412829086903,1086,419
spar030-060-1,30,60,0.8005660953050384,756,391
spar030-060-2,30,60,0.9936956565164928,668,212
spar030-060-3,30,60,0.8353082377656611,1197,534
spar030-070-1,30,70,0.7691653231482697,1200,660
spar030-070-2,30,70,0.9406260299005876,1174,457
spar030-070-3,30,70,0.8894465483131413,1470,501
spar030-080-1,30,80,0.7949639028810956,2003,900
spar030-080-2,30,80,0.9825026003903391,1780,634
spar030-080-3,30,80,0.9924265794472197,2083,626
spar030-090-1,30,90,0.8771273780620009,2551,1041
spar030-090-2,30,90,0.856774411939573,2956,1047
spar030-090-3,30,90,0.9090077600939952,2643,934
spar030-100-1,30,100,0.8182790154756615,3838,1162
spar030-100-2,30,100,0.7945962679436377,3923,1398
spar030-100-3,30,100,0.8447032458363345,3865,1154
spar040-030-1,40,30,0.981393872324958,243,105
spar040-030-2,40,30,0.9160762468676963,281,91
spar040-030-3,40,30,0.9227835746319691,234,120
spar040-040-1,40,40,0.7624963828344701,567,422
spar040-040-2,40,40,0.9096373160235953,613,341
spar040-040-3,40,40,0.781723319617146,621,403
spar040-050-1,40,50,0.7989912333050296,1114,669
spar040-050-2,40,50,0.8272773902497058,1217,610
spar040-050-3,40,50,0.8426452038386856,1266,715
spar040-060-1,40,60,0.7831547034690521,1861,1050
spar040-060-2,40,60,0.8886506919543785,1619,669
spar040-060-3,40,60,0.9383780408730763,2381,950
spar040-070-1,40,70,0.8457724668554577,2995,1071
spar040-070-2,40,70,0.8501837997329512,2889,1174
spar040-070-3,40,70,0.8573975668672044,3347,1290
spar040-080-1,40,80,0.8204593453437246,4742,1679
spar040-080-2,40,80,0.8268874349357654,4520,1561
spar040-080-3,40,80,0.8458199747371022,5418,1869
spar040-090-1,40,90,0.8082427807018973,6491,2188
spar040-090-2,40,90,0.7969737530570403,7002,2324
spar040-090-3,40,90,0.8419056617408275,6906,2161
spar040-100-1,40,100,0.8202243121870447,9395,2645
spar040-100-2,40,100,0.7791321638560167,9579,3050
spar040-100-3,40,100,0.7135380688070315,9251,3049
spar050-030-1,50,30,0.9211280941029611,467,219
spar050-030-2,50,30,0.7482472647261025,514,273
spar050-030-3,50,30,0.7674270294013724,479,289
spar050-040-1,50,40,0.8203346584320506,1078,637
spar050-040-2,50,40,0.8174916683175567,1310,842
spar050-040-3,50,40,0.8795084647425547,1186,784
spar050-050-1,50,50,0.7125925346428275,2400,1491
spar050-050-2,50,50,0.7822202310658802,2323,1425
spar050-050-3,50,50,0.7972793708935131,2548,1308
spar060-020-1,60,20,0.7860284917833753,275,161
spar060-020-2,60,20,0.9527672204316918,322,153
spar060-020-3,60,20,0.678979902788624,330,162
spar070-025-1,70,25,0.7385906893692928,787,460
spar070-025-2,70,25,0.6690557029540638,736,388
spar070-025-3,70,25,0.7794155503002315,915,664
spar070-050-1,70,50,0.7658934340016765,6608,3068
spar070-050-2,70,50,0.795838574283472,5287,2734
spar070-050-3,70,50,0.8455897266881552,6058,2763
spar070-075-1,70,75,0.7334480761078581,22200,6647
spar070-075-2,70,75,0.7121086119347808,21114,6268
spar070-075-3,70,75,0.7196741271328058,21320,6298
spar080-025-1,80,25,0.7864389776238925,1217,834
spar080-025-2,80,25,0.6574412751579222,1062,794
spar080-025-3,80,25,0.7442156821565136,1319,1014
spar080-050-1,80,50,0.7087797475787884,10258,4234
spar080-050-2,80,50,0.7849544989792583,8680,3987
spar080-050-3,80,50,0.7654609082324881,8863,4100
spar080-075-1,80,75,0.7184766531228944,33045,9579
spar080-075-2,80,75,0.7226251314389748,31783,9146
spar080-075-3,80,75,0.7218819007681572,32786,9445
spar090-025-1,90,25,0.7219681570333943,1839,1317
spar090-025-2,90,25,0.7343460967548986,1737,1282
spar090-025-3,90,25,0.7571430104518807,1872,1335
spar090-050-1,90,50,0.7357399922302633,14205,5808
spar090-050-2,90,50,0.7701853367988619,12738,5215
spar090-050-3,90,50,0.7676992423968454,12780,5222
spar090-075-1,90,75,0.6781176407999507,47607,13452
spar090-075-2,90,75,0.6801342791950393,46098,13225
spar090-075-3,90,75,0.6879755957522621,46718,13367
spar100-025-1,100,25,0.7050767645048828,2306,1879
spar100-025-2,100,25,0.7083880260696855,2332,1949
spar100-025-3,100,25,0.736074522428028,2468,1583
spar100-050-1,100,50,0.7009979220508039,20119,7309
spar100-050-2,100,50,0.7161361017190163,18045,7094
spar100-050-3,100,50,0.7228968068659689,18378,7413
spar100-075-1,100,75,0.6747941111603122,64945,18561
spar100-075-2,100,75,0.6782261383390119,63004,16191
spar100-075-3,100,75,0.6817034184476176,64757,16302
spar125-025-1,125,25,0.6845468234725718,5219,3914
spar125-025-2,125,25,0.7225275344768759,5356,3535
spar125-025-3,125,25,0.7397380646823769,5212,3500
spar125-050-1,125,50,0.6945397950507145,39432,12210
spar125-050-2,125,50,0.6920466896505263,40048,13622
spar125-050-3,125,50,0.6964879596374173,40525,13943
spar125-075-1,125,75,0.6638261266643979,133242,29081
spar125-075-2,125,75,0.6470232026347749,132145,29684
spar125-075-3,125,75,0.653241919781016,129267,29098
