Optimality selection (neural nets) for M+S^E_3 with selection size 0.1 and up to 40 cut rounds 
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9705028314591796,1051,527
spar020-100-2,20,100,0.873095410887145,1070,576
spar020-100-3,20,100,0.9728215587314819,1086,661
spar030-060-1,30,60,0.810663884155311,756,668
spar030-060-2,30,60,0.9991534875401787,668,307
spar030-060-3,30,60,0.8431827972909616,1197,783
spar030-070-1,30,70,0.7765284230713635,1200,914
spar030-070-2,30,70,0.949873618813288,1174,735
spar030-070-3,30,70,0.8944330051168013,1470,778
spar030-080-1,30,80,0.801527038131978,2003,1310
spar030-080-2,30,80,0.98608586955042,1780,959
spar030-080-3,30,80,0.9947700438779474,2083,1136
spar030-090-1,30,90,0.8846106261997069,2551,1487
spar030-090-2,30,90,0.866044425914424,2956,1627
spar030-090-3,30,90,0.9198419187501417,2643,1450
spar030-100-1,30,100,0.8258871102914902,3838,1766
spar030-100-2,30,100,0.8028577377748395,3923,2128
spar030-100-3,30,100,0.8537849553462081,3865,1996
spar040-030-1,40,30,0.990360109791714,243,130
spar040-030-2,40,30,0.9317486966576018,281,156
spar040-030-3,40,30,0.9267603207842269,234,159
spar040-040-1,40,40,0.7692742234408905,567,528
spar040-040-2,40,40,0.9213849546719864,613,474
spar040-040-3,40,40,0.79003736607191,621,642
spar040-050-1,40,50,0.80814282843458,1114,900
spar040-050-2,40,50,0.8374775412917749,1217,859
spar040-050-3,40,50,0.8523765104765999,1266,1031
spar040-060-1,40,60,0.7913515932847127,1861,1322
spar040-060-2,40,60,0.8987403627945536,1619,982
spar040-060-3,40,60,0.9457370079717512,2381,1333
spar040-070-1,40,70,0.8541598434348164,2995,1672
spar040-070-2,40,70,0.857200066438802,2889,1871
spar040-070-3,40,70,0.8650459564620651,3347,1858
spar040-080-1,40,80,0.8285315209125639,4742,2531
spar040-080-2,40,80,0.8336700165884341,4520,2431
spar040-080-3,40,80,0.8526423515710764,5418,2819
spar040-090-1,40,90,0.8138649695031483,6491,3010
spar040-090-2,40,90,0.8033243930795156,7002,3163
spar040-090-3,40,90,0.8514577506433464,6906,3394
spar040-100-1,40,100,0.8259619259371351,9395,4059
spar040-100-2,40,100,0.7843253178181171,9579,4328
spar040-100-3,40,100,0.718667735249383,9251,4335
spar050-030-1,50,30,0.9422816458608252,467,447
spar050-030-2,50,30,0.7612524548542361,514,503
spar050-030-3,50,30,0.7882396276633389,479,618
spar050-040-1,50,40,0.8328767567929174,1078,979
spar050-040-2,50,40,0.8264879860379465,1310,1056
spar050-040-3,50,40,0.8876086872960934,1186,1072
spar050-050-1,50,50,0.7208014630813244,2400,1976
spar050-050-2,50,50,0.789064249940618,2323,1763
spar050-050-3,50,50,0.80775491267884,2548,1948
spar060-020-1,60,20,0.7952684743809935,275,193
spar060-020-2,60,20,0.9654548536930005,322,202
spar060-020-3,60,20,0.6988921567048155,330,290
spar070-025-1,70,25,0.7561486154813243,787,769
spar070-025-2,70,25,0.6939850903678287,736,746
spar070-025-3,70,25,0.7873329122904772,915,933
spar070-050-1,70,50,0.772661699656835,6608,4385
spar070-050-2,70,50,0.8034359807884504,5287,4030
spar070-050-3,70,50,0.8519637538091702,6058,4030
spar070-075-1,70,75,0.739005356933322,22200,10249
spar070-075-2,70,75,0.7169712339780163,21114,9767
spar070-075-3,70,75,0.725719154248625,21320,9592
spar080-025-1,80,25,0.7963002510538302,1217,1199
spar080-025-2,80,25,0.6746701729105667,1062,1253
spar080-025-3,80,25,0.7611015629644673,1319,1342
spar080-050-1,80,50,0.7175860834247343,10258,6006
spar080-050-2,80,50,0.7925759601942755,8680,5240
spar080-050-3,80,50,0.7732162746119754,8863,5888
spar080-075-1,80,75,0.723002324379264,33045,14919
spar080-075-2,80,75,0.7273849023606261,31783,14204
spar080-075-3,80,75,0.7260114411153294,32786,14235
spar090-025-1,90,25,0.7287508797627987,1839,1821
spar090-025-2,90,25,0.742279930224463,1737,1726
spar090-025-3,90,25,0.7674328092266338,1872,1909
spar090-050-1,90,50,0.7421935398060318,14205,8122
spar090-050-2,90,50,0.7779353483319773,12738,7362
spar090-050-3,90,50,0.7746252209208725,12780,7349
spar090-075-1,90,75,0.6811933265377668,47607,21796
spar090-075-2,90,75,0.6837930555925815,46098,21248
spar090-075-3,90,75,0.6925440740413015,46718,21314
spar100-025-1,100,25,0.7111875092902986,2306,2498
spar100-025-2,100,25,0.7165860720228583,2332,2524
spar100-025-3,100,25,0.7481031409813089,2468,2482
spar100-050-1,100,50,0.7060844278104175,20119,11140
spar100-050-2,100,50,0.7234488864902365,18045,9997
spar100-050-3,100,50,0.7293767464831828,18378,10269
spar100-075-1,100,75,0.6772824231074795,64945,24088
spar100-075-2,100,75,0.6811483835121446,63004,23904
spar100-075-3,100,75,0.6844227856653721,64757,23305
spar125-025-1,125,25,0.6917971826388654,5219,4837
spar125-025-2,125,25,0.7310734025382983,5356,5457
spar125-025-3,125,25,0.7472760987333977,5212,4873
spar125-050-1,125,50,0.7000249168299668,39432,18543
spar125-050-2,125,50,0.6965594651767004,40048,18868
spar125-050-3,125,50,0.7013157910398293,40525,19357
spar125-075-1,125,75,0.6638261266643979,133242,29081
spar125-075-2,125,75,0.6470232026347749,132145,29684
spar125-075-3,125,75,0.653241919781016,129267,29098
