Feasibility selection for M+S^E_4 with selection size 0.1 and up to 40 cut rounds ,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.999773153,4106,2460
spar020-100-2,20,100,0.980672363,4270,2056
spar020-100-3,20,100,0.999999963,4389,1752
spar030-060-1,30,60,0.925267882,906,1260
spar030-060-2,30,60,0.999995366,708,420
spar030-060-3,30,60,0.956110031,2444,1999
spar030-070-1,30,70,0.914222097,2392,2573
spar030-070-2,30,70,0.99991628,2277,1362
spar030-070-3,30,70,0.98609052,3445,2231
spar030-080-1,30,80,0.944684873,6754,4517
spar030-080-2,30,80,0.999999847,5281,2112
spar030-080-3,30,80,0.999998975,7116,2844
spar030-090-1,30,90,0.998058799,10761,6151
spar030-090-2,30,90,0.995808036,14583,7255
spar030-090-3,30,90,0.999999946,11600,5800
spar030-100-1,30,100,0.981986295,24461,11094
spar030-100-2,30,100,0.966343722,25602,12078
spar030-100-3,30,100,0.984823731,24806,10751
spar040-030-1,40,30,0.999723513,146,154
spar040-030-2,40,30,0.976127826,164,240
spar040-030-3,40,30,0.971747333,165,240
spar040-040-1,40,40,0.856136951,363,864
spar040-040-2,40,40,0.99832603,403,560
spar040-040-3,40,40,0.887816296,403,960
spar040-050-1,40,50,0.917426355,1109,1650
spar040-050-2,40,50,0.9430427,1348,1742
spar040-050-3,40,50,0.954914104,1432,1859
spar040-060-1,40,60,0.916133623,3065,3351
spar040-060-2,40,60,0.982951694,2399,2151
spar040-060-3,40,60,0.999973114,5217,2605
spar040-070-1,40,70,0.980510245,8273,5389
spar040-070-2,40,70,0.983237125,7798,5242
spar040-070-3,40,70,0.981239153,10436,6322
spar040-080-1,40,80,0.979591567,21024,11791
spar040-080-2,40,80,0.982652733,19207,9752
spar040-080-3,40,80,0.981160951,27298,12741
spar040-090-1,40,90,0.971984669,39115,17951
spar040-090-2,40,90,0.964886862,45646,20193
spar040-090-3,40,90,0.990371451,44714,19229
spar040-100-1,40,100,0.982879089,82645,21905
spar040-100-2,40,100,0.966613168,85901,24863
spar040-100-3,40,100,0.927050605,80164,24732
spar050-030-1,50,30,0.994717435,285,504
spar050-030-2,50,30,0.848548775,315,713
spar050-030-3,50,30,0.886022809,281,756
spar050-040-1,50,40,0.921035584,723,1440
spar050-040-2,50,40,0.918639374,1080,1836
spar050-040-3,50,40,0.976400215,900,1440
spar050-050-1,50,50,0.850255779,3290,4935
spar050-050-2,50,50,0.914055518,3257,4225
spar050-050-3,50,50,0.92775062,3849,4608
spar060-020-1,60,20,0.845983818,224,462
spar060-020-2,60,20,0.999742635,233,299
spar060-020-3,60,20,0.787678623,231,529
spar070-025-1,70,25,0.824775442,495,1176
spar070-025-2,70,25,0.770058152,454,1305
spar070-025-3,70,25,0.845595842,564,1232
spar070-050-1,70,50,0.910789807,13446,12089
spar070-050-2,70,50,0.926838383,8518,9128
spar070-050-3,70,50,0.979837176,11239,9380
spar070-075-1,70,75,0.936090229,151974,31554
spar070-075-2,70,75,0.914619328,135658,30722
spar070-075-3,70,75,0.919392135,139771,31116
spar080-025-1,80,25,0.856585572,746,1628
spar080-025-2,80,25,0.743813269,677,1809
spar080-025-3,80,25,0.84189174,777,2079
spar080-050-1,80,50,0.875828696,24873,19334
spar080-050-2,80,50,0.935225356,18148,14696
spar080-050-3,80,50,0.914598265,18528,14863
spar080-075-1,80,75,0.921887854,254742,36624
spar080-075-2,80,75,0.92433809,235366,35068
spar080-075-3,80,75,0.917440744,252090,35839
spar090-025-1,90,25,0.80318731,1118,2775
spar090-025-2,90,25,0.812771496,1082,2484
spar090-025-3,90,25,0.838965609,1093,2507
spar090-050-1,90,50,0.903035748,37193,24580
spar090-050-2,90,50,0.935761951,29872,22268
spar090-050-3,90,50,0.920914149,30256,21852
spar090-075-1,90,75,0.889171592,417956,48215
spar090-075-2,90,75,0.891319486,394923,44016
spar090-075-3,90,75,0.900428595,405074,47985
spar100-025-1,100,25,0.796527337,1395,3475
spar100-025-2,100,25,0.798582618,1407,3500
spar100-025-3,100,25,0.833455519,1451,3480
spar100-050-1,100,50,0.878416107,60998,35373
spar100-050-2,100,50,0.885328385,48165,31247
spar100-050-3,100,50,0.898473992,50462,32184
spar100-075-1,100,75,0.886837425,632581,50000
spar100-075-2,100,75,0.889817132,596864,50000
spar100-075-3,100,75,0.891909929,626467,50000
spar125-025-1,125,25,0.775877686,3439,7889
spar125-025-2,125,25,0.823330421,3423,7524
spar125-025-3,125,25,0.832943317,3338,6993
spar125-050-1,125,50,0.878876605,150129,46548
spar125-050-2,125,50,0.883941197,152814,46577
spar125-050-3,125,50,0.890039946,158515,46532
spar125-075-1,125,75,0.875407658,1700215,65000
spar125-075-2,125,75,0.856885258,1681784,65000
spar125-075-3,125,75,0.865149809,1602598,65000
