Optimality selection (neural nets) for M+S^E_5 with selection size 0.1 and up to 40 cut rounds ,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.998133407,11701,4349
spar020-100-2,20,100,0.970628944,12558,3765
spar020-100-3,20,100,0.999999972,13104,3800
spar030-060-1,30,60,0.87460428,488,556
spar030-060-2,30,60,0.99876938,357,206
spar030-060-3,30,60,0.927559568,2683,1508
spar030-070-1,30,70,0.910380854,2452,2234
spar030-070-2,30,70,0.993753442,2267,1404
spar030-070-3,30,70,0.967665762,4144,1723
spar030-080-1,30,80,0.948972761,14077,6670
spar030-080-2,30,80,0.999999944,9083,2595
spar030-080-3,30,80,0.999997836,14669,4313
spar030-090-1,30,90,0.996343814,29797,12012
spar030-090-2,30,90,0.996349421,50030,17379
spar030-090-3,30,90,0.99999994,33858,12291
spar030-100-1,30,100,0.975825758,117664,17541
spar030-100-2,30,100,0.96698859,127328,18809
spar030-100-3,30,100,0.979702709,120440,17455
spar040-030-1,40,30,0.993367392,142,114
spar040-030-2,40,30,0.890524487,152,100
spar040-030-3,40,30,0.927869923,165,123
spar040-040-1,40,40,0.752819398,247,329
spar040-040-2,40,40,0.909236469,245,274
spar040-040-3,40,40,0.777765633,263,348
spar040-050-1,40,50,0.844422308,589,605
spar040-050-2,40,50,0.889318101,656,639
spar040-050-3,40,50,0.903137372,670,782
spar040-060-1,40,60,0.89531626,2085,1884
spar040-060-2,40,60,0.952676998,1549,1247
spar040-060-3,40,60,0.999783476,5300,2424
spar040-070-1,40,70,0.976536784,11565,5285
spar040-070-2,40,70,0.961512922,10885,5083
spar040-070-3,40,70,0.968448643,17437,6515
spar040-080-1,40,80,0.980690864,56790,19682
spar040-080-2,40,80,0.974822099,48850,16832
spar040-080-3,40,80,0.971768832,86525,18909
spar040-090-1,40,90,0.967931863,157594,18556
spar040-090-2,40,90,0.956961755,204730,18651
spar040-090-3,40,90,0.973337193,200103,19141
spar040-100-1,40,100,0.972878704,556457,19992
spar040-100-2,40,100,0.959732354,593366,21270
spar040-100-3,40,100,0.937303825,529202,21788
spar050-030-1,50,30,0.919907547,258,268
spar050-030-2,50,30,0.75070122,275,306
spar050-030-3,50,30,0.751878385,245,285
spar050-040-1,50,40,0.82347865,452,559
spar050-040-2,50,40,0.840544521,574,745
spar050-040-3,50,40,0.910788421,502,675
spar050-050-1,50,50,0.816062185,1836,2773
spar050-050-2,50,50,0.877266451,1911,2018
spar050-050-3,50,50,0.901261981,2394,2620
spar060-020-1,60,20,0.779629852,224,197
spar060-020-2,60,20,0.968459517,233,157
spar060-020-3,60,20,0.680928517,227,241
spar070-025-1,70,25,0.719464634,465,450
spar070-025-2,70,25,0.670304738,433,499
spar070-025-3,70,25,0.764216193,510,622
spar070-050-1,70,50,0.904535951,10777,7896
spar070-050-2,70,50,0.9010533,5439,4686
spar070-050-3,70,50,0.965637955,8225,5845
spar070-075-1,70,75,0.932737857,612406,25064
spar070-075-2,70,75,0.916830844,495184,25607
spar070-075-3,70,75,0.918011258,529786,25616
spar080-025-1,80,25,0.777930729,680,820
spar080-025-2,80,25,0.653628843,639,989
spar080-025-3,80,25,0.739517664,692,1015
spar080-050-1,80,50,0.880006715,24270,16160
spar080-050-2,80,50,0.929093481,15287,10574
spar080-050-3,80,50,0.91131883,15395,10105
spar080-075-1,80,75,0.917478448,1137158,27534
spar080-075-2,80,75,0.916421001,996803,25913
spar080-075-3,80,75,0.908734448,1127699,27455
spar090-025-1,90,25,0.714826014,923,1427
spar090-025-2,90,25,0.709863697,865,1125
spar090-025-3,90,25,0.759008126,966,1131
spar090-050-1,90,50,0.906528929,37301,20668
spar090-050-2,90,50,0.932683694,26509,15977
spar090-050-3,90,50,0.915103175,27198,16070
spar090-075-1,90,75,0.894311088,2131760,31060
spar090-075-2,90,75,0.903401049,1966764,32743
spar090-075-3,90,75,0.904359402,2048918,30903
spar100-025-1,100,25,0.699290782,1207,1431
spar100-025-2,100,25,0.691494256,1259,1951
spar100-025-3,100,25,0.740122497,1260,1679
spar100-050-1,100,50,0.883718881,72777,29430
spar100-050-2,100,50,0.888755616,48290,26735
spar100-050-3,100,50,0.90729836,52951,27430
spar100-075-1,100,75,0,3596761,0
spar100-075-2,100,75,0,3281860,0
spar100-075-3,100,75,0,3510062,0
spar125-025-1,125,25,0.684870612,2486,3584
spar125-025-2,125,25,0.748850648,2664,4040
spar125-025-3,125,25,0.751859297,2470,3562
spar125-050-1,125,50,0.875846841,228285,32042
spar125-050-2,125,50,0.883573357,229528,32933
spar125-050-3,125,50,0.893066314,249143,33518
spar125-075-1,125,75,0,12845805,0
spar125-075-2,125,75,0,12739984,0
spar125-075-3,125,75,0,11660122,0
