M+tri separated with selection size 0.1 and up to 20 cut rounds
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts, time_total
spar020-100-1,20,100,1.0,0,0,612,612,0.03717989000142552
spar020-100-2,20,100,0.9450867052023122,0,0,694,694,0.04950851999819861
spar020-100-3,20,100,1.0,0,0,638,638,0.04275170400069328
spar030-060-1,30,60,0.9678631051752922,0,0,3899,3899,0.2504412560010678
spar030-060-2,30,60,0.9741662284986933,0,0,1721,1721,0.09181095000167261
spar030-060-3,30,60,0.9601015367438729,0,0,3686,3686,0.24115201700260513
spar030-070-1,30,70,0.9455042225534029,0,0,4900,4900,0.5298758879980596
spar030-070-2,30,70,0.986050219210841,0,0,2268,2268,0.12802224899860448
spar030-070-3,30,70,0.9417391870405284,0,0,2667,2667,0.13732289399922593
spar030-080-1,30,80,0.9686512210348263,0,0,4375,4375,0.4238334029978432
spar030-080-2,30,80,1.0,0,0,2570,2570,0.1278692889973172
spar030-080-3,30,80,0.9937378514494972,0,0,2461,2461,0.2677148729999317
spar030-090-1,30,90,1.0,0,0,2665,2665,0.179615417997411
spar030-090-2,30,90,0.9907049049541543,0,0,2417,2417,0.19049055200230214
spar030-090-3,30,90,1.0,0,0,2472,2472,0.3005180250002013
spar030-100-1,30,100,0.9939994544958632,0,0,2487,2487,0.27481206100128475
spar030-100-2,30,100,1.0,0,0,2155,2155,0.26666007500170963
spar030-100-3,30,100,0.975457403078907,0,0,2146,2146,0.22475945100086392
spar040-030-1,40,30,1.0,0,0,1579,1579,0.09802567299993825
spar040-030-2,40,30,0.9878640776699029,0,0,1542,1542,0.23286180599825457
spar040-030-3,40,30,1.0,0,0,1776,1776,0.11290360699786106
spar040-040-1,40,40,0.9740608336643436,0,0,6219,6219,0.5141310629987856
spar040-040-2,40,40,1.0,0,0,4566,4566,0.26541794600052526
spar040-040-3,40,40,0.9774891774891775,0,0,4306,4306,0.5495248990009713
spar040-050-1,40,50,0.9974792034282836,0,0,7964,7964,0.7223178050007846
spar040-050-2,40,50,0.995120213328727,0,0,7228,7228,0.5768501379970985
spar040-050-3,40,50,0.9954576477815847,0,0,5100,5100,0.45138099700125167
spar040-060-1,40,60,0.9562749810086519,0,0,11502,11502,1.0269615050019638
spar040-060-2,40,60,0.9893006288393364,0,0,5408,5408,0.522501667997858
spar040-060-3,40,60,1.0,0,0,5457,5457,0.33890237100058584
spar040-070-1,40,70,1.0000000000000002,0,0,7586,7586,0.6647252479997405
spar040-070-2,40,70,1.0,0,0,7153,7153,0.5057331140014867
spar040-070-3,40,70,0.9943342776203973,0,0,6932,6932,0.6324333419979666
spar040-080-1,40,80,1.0000000000000002,0,0,7457,7457,0.7149650669998664
spar040-080-2,40,80,1.0,0,0,7087,7087,0.5464681699995708
spar040-080-3,40,80,0.9911894273127754,0,0,7454,7454,0.7279789800013532
spar040-090-1,40,90,1.0000000000000002,0,0,6779,6779,0.7733985910017509
spar040-090-2,40,90,0.9954150122896577,0,0,9454,9454,0.8604745339980582
spar040-090-3,40,90,0.9974769774189479,0,0,7102,7102,0.7696805669984315
spar040-100-1,40,100,0.9956097173908379,0,0,5402,5402,0.8167320309985371
spar040-100-2,40,100,0.9843763949647353,0,0,5408,5408,0.6841525979980361
spar040-100-3,40,100,0.8984033764102421,0,0,6216,6216,0.8701235959997575
spar050-030-1,50,30,1.0,0,0,4132,4132,0.38569564100180287
spar050-030-2,50,30,0.9984984984984988,0,0,6737,6737,0.7725191210010962
spar050-030-3,50,30,0.9886978638771486,0,0,6420,6420,0.5627247789998364
spar050-040-1,50,40,0.9999999999999998,0,0,10634,10634,1.2985356520002824
