Feasibility selection for M+triangle+S^E_3 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts, time_total
spar020-100-1,20,100,1.0,1051,105,648,753,0.4764941149915103
spar020-100-2,20,100,0.9999971636995911,1070,428,675,1103,0.228594015003182
spar020-100-3,20,100,1.0000000000000002,1086,108,602,710,0.11730615299893543
spar030-060-1,30,60,0.9999994446343413,756,300,3473,3773,0.6677693189994898
spar030-060-2,30,60,0.9993233136074913,668,132,1854,1986,0.1398067259870004
spar030-060-3,30,60,0.9999887019126834,1197,476,3452,3928,0.73373896497651
spar030-070-1,30,70,0.9799383706631011,1200,444,4802,5246,0.8690695819968823
spar030-070-2,30,70,0.9999315778529985,1174,234,2050,2284,0.22938783597783186
spar030-070-3,30,70,0.9993734123111166,1470,588,2426,3014,0.5744396930094808
spar030-080-1,30,80,0.9999823230930769,2003,600,5100,5700,1.0145402300113346
spar030-080-2,30,80,1.0,1780,178,2324,2502,0.2668880919809453
spar030-080-3,30,80,0.9999937861608056,2083,412,2376,2788,0.2882961969880853
spar030-090-1,30,90,1.0,2551,255,2396,2651,0.4082677580008749
spar030-090-2,30,90,0.9997517182815576,2956,590,2355,2945,0.45754463801858947
spar030-090-3,30,90,1.0,2643,264,2412,2676,0.3907066530082375
spar030-100-1,30,100,0.9999950180248268,3838,766,2259,3025,0.677120134991128
spar030-100-2,30,100,1.0000000000000002,3923,784,2181,2965,0.6108040830004029
spar030-100-3,30,100,0.9999741362104864,3865,1158,2183,3341,0.8369596929987893
spar040-030-1,40,30,1.0,243,24,1392,1416,0.10670654600835405
spar040-030-2,40,30,0.9999999988031613,281,80,1577,1657,0.14712505097850226
spar040-030-3,40,30,1.0,234,23,1762,1785,0.11404608099837787
spar040-040-1,40,40,0.9984604641592058,567,280,6241,6521,1.0260765859857202
spar040-040-2,40,40,1.0,613,74,2625,2699,0.2202297509938944
spar040-040-3,40,40,0.9999999965794629,621,186,5917,6103,0.6437924309866503
spar040-050-1,40,50,0.9999998207663353,1114,295,8984,9279,1.0656189089932013
spar040-050-2,40,50,0.9999901473511805,1217,363,6066,6429,0.7223814430180937
spar040-050-3,40,50,0.999995323641715,1266,184,5710,5894,0.503511150018312
spar040-060-1,40,60,0.9897678913328325,1861,744,11401,12145,2.304820623015985
spar040-060-2,40,60,0.9999290920686884,1619,322,4345,4667,0.4655156570079271
spar040-060-3,40,60,1.0,2381,241,4927,5168,0.5490614740119781
spar040-070-1,40,70,1.0000000000000002,2995,300,7586,7886,0.7665360019891523
spar040-070-2,40,70,0.9999999999999999,2889,402,7153,7555,0.7458701010036748
spar040-070-3,40,70,0.9999923497621329,3347,962,6932,7894,0.985724714002572
spar040-080-1,40,80,0.9999999999999998,4742,948,7457,8405,1.023157165007433
spar040-080-2,40,80,1.0,4520,460,7087,7547,0.941497755004093
spar040-080-3,40,80,0.9993262076212118,5418,1623,7830,9453,1.7833632889960427
spar040-090-1,40,90,1.0000000000000002,6491,1298,6779,8077,1.2103752869879827
spar040-090-2,40,90,0.9998760459392075,7002,1400,9434,10834,2.0138530040276237
spar040-090-3,40,90,0.9999999994018118,6906,1380,7102,8482,1.4776593929855153
spar040-100-1,40,100,0.9999458857033771,9395,1878,5321,7199,1.8521359790174756
spar040-100-2,40,100,0.9999699557588694,9579,1914,5408,7322,2.493983855994884
spar040-100-3,40,100,0.9232252843507164,9251,2775,6216,8991,3.4345528699923307
spar050-030-1,50,30,0.9999999999999996,467,46,3365,3411,0.3369446800206788
spar050-030-2,50,30,0.9999307807603591,514,128,5154,5282,0.6062726670061238
spar050-030-3,50,30,0.9996518971600095,479,130,6183,6313,0.6781664890004322
spar050-040-1,50,40,1.0,1078,318,11278,11596,1.6182127409847453
spar050-040-2,50,40,0.9998887599230493,1310,304,13530,13834,1.7579235050070565
spar050-040-3,50,40,1.0,1186,140,5813,5953,0.616851130995201
spar050-050-1,50,50,0.9275799841490824,2400,555,14805,15360,2.582666419999441
spar050-050-2,50,50,0.9999999999999999,2323,696,14421,15117,2.787705606984673
spar050-050-3,50,50,0.999993902109919,2548,762,16074,16836,4.598714932973962
spar060-020-1,60,20,1.0,275,54,4717,4771,0.5659563779772725
spar060-020-2,60,20,1.0,322,32,2770,2802,0.2974778469942976
spar060-020-3,60,20,1.0000000000000004,330,66,4766,4832,0.8054021429852583
spar070-025-1,70,25,0.999930433917664,787,234,12737,12971,2.0391706869995687
spar070-025-2,70,25,0.9999999790847823,736,219,13497,13716,1.9946337699948344
spar070-025-3,70,25,0.9998932077841124,915,263,12402,12665,2.248814691993175
spar070-050-1,70,50,0.9870143639142311,6608,1858,30000,31858,8.176872815995011
spar070-050-2,70,50,0.9999999999856035,5287,1584,21832,23416,6.6966364980035
spar070-050-3,70,50,1.0000000000000007,6058,1210,20000,21210,3.3109192839765456
spar070-075-1,70,75,0.9643659865526236,22200,4586,30000,34586,21.141059177025454
spar070-075-2,70,75,0.9267317054178199,21114,5838,30000,35838,21.235786514997017
spar070-075-3,70,75,0.9443430772234837,21320,4770,30000,34770,20.277971150004305
spar080-025-1,80,25,0.9999999999999998,1217,363,19232,19595,3.9250711420027073
spar080-025-2,80,25,0.9899797528097548,1062,361,20872,21233,4.820923472987488
spar080-025-3,80,25,0.9998130066256792,1319,524,28215,28739,5.520996453997213
spar080-050-1,80,50,0.9253527179538187,10258,2109,30000,32109,11.613780478975968
spar080-050-2,80,50,0.9999994889031008,8680,1736,20000,21736,4.821620556002017
spar080-050-3,80,50,0.992899903812541,8863,2738,40000,42738,19.09394429202075
spar080-075-1,80,75,0.9383566605026578,33045,12433,40000,52433,57.05149916099617
spar080-075-2,80,75,0.9445446261025484,31783,9534,30000,39534,27.497528636013158
spar080-075-3,80,75,0.9476965853431832,32786,9834,30000,39834,26.49162499900558
spar090-025-1,90,25,0.9891806862387329,1839,587,30989,31576,10.008359478000784
spar090-025-2,90,25,0.9930182819151944,1737,538,30368,30906,11.56886396300979
spar090-025-3,90,25,0.9999999994606208,1872,561,29344,29905,9.968811441998696
spar090-050-1,90,50,0.9674464896289906,14205,2606,30000,32606,14.704606970015448
spar090-050-2,90,50,0.9999999999999999,12738,2546,20000,22546,8.44657977099996
spar090-050-3,90,50,0.995414780242267,12780,3459,30000,33459,20.055677106021903
spar090-075-1,90,75,0.8807415222066602,47607,15165,40000,55165,67.37591754298774
spar090-075-2,90,75,0.8781549957309606,46098,17045,40000,57045,67.30344662599964
spar090-075-3,90,75,0.8944523516110904,46718,16337,40000,56337,65.55728478499805
spar100-025-1,100,25,0.9870493783837444,2306,847,40403,41250,17.511772339988966
spar100-025-2,100,25,0.9999995151384421,2332,839,37076,37915,23.209357593994355
spar100-025-3,100,25,0.9999999961711664,2468,738,30000,30738,17.045217759005027
spar100-050-1,100,50,0.9218033076938839,20119,2566,30000,32566,45.50895542901708
spar100-050-2,100,50,0.9428769978274301,18045,3338,30000,33338,44.46821878300398
spar100-050-3,100,50,0.9514730605033428,18378,3852,30000,33852,44.411865071975626
spar100-075-1,100,75,0.8738592853067295,64945,20000,40000,60000,80.42821309901774
spar100-075-2,100,75,0.8793238677341522,63004,20000,40000,60000,85.41178104100982
spar100-075-3,100,75,0.8800119357174213,64757,20000,40000,60000,83.49552086001495
spar125-025-1,125,25,0.9307756352564415,5219,1964,67206,69170,91.02090929201222
spar125-025-2,125,25,0.9724860285460368,5356,2076,68167,70243,89.83529139001621
spar125-025-3,125,25,0.9854058728356245,5212,1769,70000,71769,84.18669326300733
spar125-050-1,125,50,0.9090791666995907,39432,14945,40000,54945,123.50704402598785
spar125-050-2,125,50,0.8970766036198715,40048,15636,40000,55636,112.05386703900876
spar125-050-3,125,50,0.9046513358923508,40525,14932,40000,54932,97.04687490101787
spar125-075-1,125,75,0.8634384015192028,133242,25000,50000,75000,260.2814887620043
spar125-075-2,125,75,0.8325511607991836,132145,25000,50000,75000,217.00851176300785
spar125-075-3,125,75,0.8473608559592192,129267,30000,60000,90000,367.2550245640159
