Feasibility selection for M+S3 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.982639019875311,1051,840
spar020-100-2,20,100,0.8915206945497146,1070,856
spar020-100-3,20,100,0.9844854353109449,1086,864
spar030-060-1,30,60,0.8277785649691116,756,900
spar030-060-2,30,60,0.9999852677434007,668,462
spar030-060-3,30,60,0.8594628135765624,1197,1071
spar030-070-1,30,70,0.7946012035442777,1200,1320
spar030-070-2,30,70,0.9638348517608073,1174,1053
spar030-070-3,30,70,0.9156043743987807,1470,1323
spar030-080-1,30,80,0.8138812566689229,2003,1800
spar030-080-2,30,80,0.9966920413262966,1780,1424
spar030-080-3,30,80,0.9985744607555779,2083,1456
spar030-090-1,30,90,0.8959085046212009,2551,2295
spar030-090-2,30,90,0.8792699168043836,2956,2360
spar030-090-3,30,90,0.9320566675984293,2643,2376
spar030-100-1,30,100,0.8384349681081837,3838,3064
spar030-100-2,30,100,0.8100729947788063,3923,3136
spar030-100-3,30,100,0.8678699412182976,3865,3058
spar040-030-1,40,30,0.9997487144889041,243,240
spar040-030-2,40,30,0.9666457242252436,281,280
spar040-030-3,40,30,0.9611426925257464,234,299
spar040-040-1,40,40,0.8008544583714281,567,840
spar040-040-2,40,40,0.9587318736385909,613,732
spar040-040-3,40,40,0.8170777899183711,621,868
spar040-050-1,40,50,0.8276344907093806,1114,1221
spar040-050-2,40,50,0.858956439290964,1217,1331
spar040-050-3,40,50,0.8683298275265432,1266,1386
spar040-060-1,40,60,0.803505348488947,1861,1860
spar040-060-2,40,60,0.9173096599347393,1619,1449
spar040-060-3,40,60,0.9631694320370836,2381,1904
spar040-070-1,40,70,0.8710654068411918,2995,2691
spar040-070-2,40,70,0.872826233902429,2889,2592
spar040-070-3,40,70,0.8780156423774518,3347,3006
spar040-080-1,40,80,0.8399976315495477,4742,4266
spar040-080-2,40,80,0.8471006930703502,4520,3616
spar040-080-3,40,80,0.8638174884688987,5418,4298
spar040-090-1,40,90,0.8236783101520853,6491,5812
spar040-090-2,40,90,0.8154147192245753,7002,5508
spar040-090-3,40,90,0.8642005374710829,6906,5398
spar040-100-1,40,100,0.8364200017364603,9395,7433
spar040-100-2,40,100,0.7898850873009966,9579,6699
spar040-100-3,40,100,0.725311120239131,9251,6475
spar050-030-1,50,30,0.973920498817199,467,598
spar050-030-2,50,30,0.8084185992379287,514,765
spar050-030-3,50,30,0.8358209430208551,479,799
spar050-040-1,50,40,0.8581426347451117,1078,1391
spar050-040-2,50,40,0.8487135548951285,1310,1572
spar050-040-3,50,40,0.9095391845394778,1186,1534
spar050-050-1,50,50,0.7382301504119184,2400,2880
spar050-050-2,50,50,0.807219841514899,2323,2552
spar050-050-3,50,50,0.8226454186632074,2548,2794
spar060-020-1,60,20,0.8411195251439385,275,486
spar060-020-2,60,20,0.9985355816850513,322,384
spar060-020-3,60,20,0.7697904138991839,330,561
spar070-025-1,70,25,0.8018034185250621,787,1326
spar070-025-2,70,25,0.740805946484067,736,1314
spar070-025-3,70,25,0.8187930143661646,915,1365
spar070-050-1,70,50,0.7861567492770066,6608,5940
spar070-050-2,70,50,0.8184842142642758,5287,5280
spar070-050-3,70,50,0.8683867926520658,6058,6050
spar070-075-1,70,75,0.7441173426015814,22200,15540
spar070-075-2,70,75,0.722583361356305,21114,14777
spar070-075-3,70,75,0.7317795052785345,21320,14924
spar080-025-1,80,25,0.8234563843075275,1217,1815
spar080-025-2,80,25,0.715743596626039,1062,1908
spar080-025-3,80,25,0.8022346026660703,1319,2227
spar080-050-1,80,50,0.7301818670690826,10258,9225
spar080-050-2,80,50,0.8062209280657272,8680,7812
spar080-050-3,80,50,0.7854994224172078,8863,7974
spar080-075-1,80,75,0.727305319099949,33045,26432
spar080-075-2,80,75,0.7321603499443065,31783,22246
spar080-075-3,80,75,0.7314542087145728,32786,22946
spar090-025-1,90,25,0.7542902288053429,1839,2745
spar090-025-2,90,25,0.7678783039436131,1737,2422
spar090-025-3,90,25,0.7889290626661856,1872,2618
spar090-050-1,90,50,0.7541073788607418,14205,11360
spar090-050-2,90,50,0.7915627972300997,12738,11457
spar090-050-3,90,50,0.7880445004990225,12780,11502
spar090-075-1,90,75,0.6859530521866014,47607,33320
spar090-075-2,90,75,0.6871661043012678,46098,32263
spar090-075-3,90,75,0.6969056368420948,46718,32697
spar100-025-1,100,25,0.7419478807148003,2306,3450
spar100-025-2,100,25,0.7510571273852448,2332,3495
spar100-025-3,100,25,0.7780363736670743,2468,3690
spar100-050-1,100,50,0.7149857733986416,20119,16088
spar100-050-2,100,50,0.7346013802673272,18045,14432
spar100-050-3,100,50,0.7401999204400125,18378,14696
spar100-075-1,100,75,0.6817696823814039,64945,40000
spar100-075-2,100,75,0.6858287330444928,63004,40000
spar100-075-3,100,75,0.6889902460148193,64757,40000
spar125-025-1,125,25,0.713159328576044,5219,6773
spar125-025-2,125,25,0.7518523622400117,5356,6955
spar125-025-3,125,25,0.765759618585192,5212,6252
spar125-050-1,125,50,0.7069622616095428,39432,31544
spar125-050-2,125,50,0.7033628583326581,40048,28028
spar125-050-3,125,50,0.7075538415321393,40525,32416
spar125-075-1,125,75,0.6711564108752334,133242,50000
spar125-075-2,125,75,0.6534198618976064,132145,55000
spar125-075-3,125,75,0.6613193800292111,129267,50000
