Optimality selection (neural nets) for M+S3 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9705028314591799,1051,527
spar020-100-2,20,100,0.8730954108871466,1070,576
spar020-100-3,20,100,0.9728215587314816,1086,661
spar030-060-1,30,60,0.8106638841553113,756,668
spar030-060-2,30,60,0.9991537224016309,668,308
spar030-060-3,30,60,0.8443539549562062,1197,856
spar030-070-1,30,70,0.7765284230713635,1200,914
spar030-070-2,30,70,0.9498736188132848,1174,732
spar030-070-3,30,70,0.8944330051168009,1470,777
spar030-080-1,30,80,0.8015270381319806,2003,1310
spar030-080-2,30,80,0.98608586955042,1780,959
spar030-080-3,30,80,0.9947700438779463,2083,1136
spar030-090-1,30,90,0.8846106261997067,2551,1487
spar030-090-2,30,90,0.866041110096305,2956,1626
spar030-090-3,30,90,0.9198419187501417,2643,1450
spar030-100-1,30,100,0.8258871102914904,3838,1766
spar030-100-2,30,100,0.8028577377748387,3923,2128
spar030-100-3,30,100,0.8537849553462077,3865,1996
spar040-030-1,40,30,0.9903601097917144,243,130
spar040-030-2,40,30,0.9317486966576018,281,156
spar040-030-3,40,30,0.9267603207842258,234,159
spar040-040-1,40,40,0.769274223440891,567,528
spar040-040-2,40,40,0.9213849546719851,613,474
spar040-040-3,40,40,0.7900373660719094,621,642
spar040-050-1,40,50,0.8081428284345767,1114,900
spar040-050-2,40,50,0.8374775412917737,1217,859
spar040-050-3,40,50,0.852376510476601,1266,1031
spar040-060-1,40,60,0.7913515932847076,1861,1322
spar040-060-2,40,60,0.8987403627945536,1619,982
spar040-060-3,40,60,0.9457370079717516,2381,1333
spar040-070-1,40,70,0.8543673553189051,2995,1848
spar040-070-2,40,70,0.8572000664388029,2889,1871
spar040-070-3,40,70,0.8650459564620651,3347,1858
spar040-080-1,40,80,0.8285220141741987,4742,2562
spar040-080-2,40,80,0.8333996421166413,4520,2427
spar040-080-3,40,80,0.8526423515710744,5418,2819
spar040-090-1,40,90,0.8142549598877297,6491,3302
spar040-090-2,40,90,0.8033243930795152,7002,3163
spar040-090-3,40,90,0.851457750643345,6906,3394
spar040-100-1,40,100,0.8259619259371351,9395,4059
spar040-100-2,40,100,0.7843253252014102,9579,4328
spar040-100-3,40,100,0.7186677352493799,9251,4335
spar050-030-1,50,30,0.9422816458608252,467,447
spar050-030-2,50,30,0.7612524575826475,514,503
spar050-030-3,50,30,0.7882396276633381,479,618
spar050-040-1,50,40,0.8328767567929182,1078,979
spar050-040-2,50,40,0.8250153940342719,1310,945
spar050-040-3,50,40,0.8876086872960958,1186,1072
spar050-050-1,50,50,0.7204671100153149,2400,1983
spar050-050-2,50,50,0.7891689768547521,2323,1751
spar050-050-3,50,50,0.8077549126788455,2548,1948
spar060-020-1,60,20,0.7952684743809944,275,193
spar060-020-2,60,20,0.9654548536930013,322,203
spar060-020-3,60,20,0.6988921567048159,330,290
spar070-025-1,70,25,0.756148615481324,787,769
spar070-025-2,70,25,0.6939850903678301,736,746
spar070-025-3,70,25,0.7873329122904779,915,933
spar070-050-1,70,50,0.7727257392790267,6608,4413
spar070-050-2,70,50,0.8035219886479276,5287,4026
spar070-050-3,70,50,0.8525091168849415,6058,4033
spar070-075-1,70,75,0.7390053569333368,22200,10249
spar070-075-2,70,75,0.7169748925151348,21114,9772
spar070-075-3,70,75,0.7257518898071764,21320,9610
spar080-025-1,80,25,0.7954088596774148,1217,1291
spar080-025-2,80,25,0.6743672465488315,1062,1250
spar080-025-3,80,25,0.7611015629644673,1319,1342
spar080-050-1,80,50,0.7175860834247355,10258,6006
spar080-050-2,80,50,0.7925759601942739,8680,5240
spar080-050-3,80,50,0.7732162746119728,8863,5888
spar080-075-1,80,75,0.7229894571151522,33045,14905
spar080-075-2,80,75,0.727403952829734,31783,14231
spar080-075-3,80,75,0.7260114411515106,32786,14235
spar090-025-1,90,25,0.7288051035743993,1839,1818
spar090-025-2,90,25,0.7433530893261973,1737,2019
spar090-025-3,90,25,0.7675969786566251,1872,1916
spar090-050-1,90,50,0.7421929114800251,14205,8120
spar090-050-2,90,50,0.7779353483319947,12738,7362
spar090-050-3,90,50,0.7746252209208728,12780,7349
spar090-075-1,90,75,0.6811933625016922,47607,21799
spar090-075-2,90,75,0.683757549379503,46098,21210
spar090-075-3,90,75,0.6925440688659577,46718,21315
spar100-025-1,100,25,0.7117246760128202,2306,2675
spar100-025-2,100,25,0.7163329105922623,2332,2524
spar100-025-3,100,25,0.7481031409811927,2468,2482
spar100-050-1,100,50,0.7061353079810578,20119,11132
spar100-050-2,100,50,0.7234487713432703,18045,9996
spar100-050-3,100,50,0.7293739095292389,18378,10267
spar100-075-1,100,75,0.6772398374193657,64945,24103
spar100-075-2,100,75,0.6811484400028995,63004,23908
spar100-075-3,100,75,0.6844454234284918,64757,23306
spar125-025-1,125,25,0.6927340578799193,5219,5284
spar125-025-2,125,25,0.7310780892934124,5356,5458
spar125-025-3,125,25,0.7465907505291374,5212,4433
spar125-050-1,125,50,0.7000092776663347,39432,18572
spar125-050-2,125,50,0.6965594607660266,40048,18869
spar125-050-3,125,50,0.7013111654265279,40525,19294
spar125-075-1,125,75,0.6637504570929458,133242,29016
spar125-075-2,125,75,0.6471009870040623,132145,29557
spar125-075-3,125,75,0.6532605307493935,129267,29148
