Optimality selection (neural nets) for M+S4 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9949958757437387,4106,1531
spar020-100-2,20,100,0.9467711136984469,4270,1382
spar020-100-3,20,100,0.999986782627629,4389,1565
spar030-060-1,30,60,0.8732726500158919,906,757
spar030-060-2,30,60,0.9985732081887193,708,355
spar030-060-3,30,60,0.8995443928550544,2444,951
spar030-070-1,30,70,0.8664159104492886,2392,1529
spar030-070-2,30,70,0.9775607405436025,2277,1024
spar030-070-3,30,70,0.9365329157991703,3445,1252
spar030-080-1,30,80,0.9101781521961048,6754,2744
spar030-080-2,30,80,0.9999864302690298,5281,1695
spar030-080-3,30,80,0.9999986085996045,7116,2395
spar030-090-1,30,90,0.9691337926229772,10761,3644
spar030-090-2,30,90,0.9661679240226462,14583,4710
spar030-090-3,30,90,0.9962252116509978,11600,3831
spar030-100-1,30,100,0.9466398340762142,24461,7383
spar030-100-2,30,100,0.9401453977448201,25602,7939
spar030-100-3,30,100,0.9542166765426188,24806,6974
spar040-030-1,40,30,0.9537930819615217,146,87
spar040-030-2,40,30,0.8665140082568522,164,101
spar040-030-3,40,30,0.9154900328002953,165,114
spar040-040-1,40,40,0.7345310863036019,363,382
spar040-040-2,40,40,0.8917567458135786,403,319
spar040-040-3,40,40,0.7318018040796109,403,366
spar040-050-1,40,50,0.8412619160802965,1109,843
spar040-050-2,40,50,0.8766780985785247,1348,794
spar040-050-3,40,50,0.9051584608826928,1432,1069
spar040-060-1,40,60,0.8699721283148752,3065,1795
spar040-060-2,40,60,0.931082722622633,2399,1367
spar040-060-3,40,60,0.9899007444699292,5217,2178
spar040-070-1,40,70,0.9424316524653821,8273,3126
spar040-070-2,40,70,0.9426069531932504,7798,3084
spar040-070-3,40,70,0.9358655628012741,10436,3373
spar040-080-1,40,80,0.9525592792605245,21024,7115
spar040-080-2,40,80,0.9403006555549771,19207,5841
spar040-080-3,40,80,0.9465277115542521,27298,8636
spar040-090-1,40,90,0.9417717445064829,39115,11702
spar040-090-2,40,90,0.9292263703136127,45646,13914
spar040-090-3,40,90,0.9530160389795783,44714,12669
spar040-100-1,40,100,0.9501896949568338,82645,15065
spar040-100-2,40,100,0.9327043940035932,85901,15806
spar040-100-3,40,100,0.902063117618855,80164,15833
spar050-030-1,50,30,0.8649117045397071,285,204
spar050-030-2,50,30,0.724619693600168,315,291
spar050-030-3,50,30,0.7199858246235408,281,272
spar050-040-1,50,40,0.8165787765154693,723,593
spar050-040-2,50,40,0.8447291531142068,1080,1144
spar050-040-3,50,40,0.9004468817210706,900,832
spar050-050-1,50,50,0.8032233764392873,3290,3047
spar050-050-2,50,50,0.8572869495945189,3257,2260
spar050-050-3,50,50,0.8812288815501619,3849,2391
spar060-020-1,60,20,0.755220194185045,224,183
spar060-020-2,60,20,0.9233467439340213,233,129
spar060-020-3,60,20,0.6449704002636016,231,217
spar070-025-1,70,25,0.6746542136117308,495,374
spar070-025-2,70,25,0.6319052079824066,454,423
spar070-025-3,70,25,0.7214089090716366,564,586
spar070-050-1,70,50,0.8703154089792318,13446,6682
spar070-050-2,70,50,0.8819395149011062,8518,5179
spar070-050-3,70,50,0.9389578733225696,11239,5435
spar070-075-1,70,75,0.8986966966613869,151974,20431
spar070-075-2,70,75,0.8816479007037693,135658,20041
spar070-075-3,70,75,0.8820050999780501,139771,20177
spar080-025-1,80,25,0.7364469415046074,746,762
spar080-025-2,80,25,0.6181182644541324,677,777
spar080-025-3,80,25,0.6939993257686767,777,742
spar080-050-1,80,50,0.8426084431661945,24873,12106
spar080-050-2,80,50,0.8940217273695222,18148,8622
spar080-050-3,80,50,0.878842446028061,18528,9212
spar080-075-1,80,75,0.879784747779482,254742,21609
spar080-075-2,80,75,0.8801659392931434,235366,20760
spar080-075-3,80,75,0.8698932160096282,252090,20470
spar090-025-1,90,25,0.6858432289358264,1118,1105
spar090-025-2,90,25,0.6922900144601354,1082,1072
spar090-025-3,90,25,0.7111628426012755,1093,1040
spar090-050-1,90,50,0.8731938409622644,37193,16547
spar090-050-2,90,50,0.9029723584516721,29872,13364
spar090-050-3,90,50,0.8839164560006452,30256,13037
spar090-075-1,90,75,0.8494955537614595,417956,25592
spar090-075-2,90,75,0.8534676931649833,394923,25172
spar090-075-3,90,75,0.8612658516451325,405074,25634
spar100-025-1,100,25,0.67229688363425,1395,1396
spar100-025-2,100,25,0.6554243600431795,1407,1719
spar100-025-3,100,25,0.7052658566508003,1451,1380
spar100-050-1,100,50,0.8454959289756412,60998,21643
spar100-050-2,100,50,0.853674990692473,48165,21087
spar100-050-3,100,50,0.8650877567336347,50462,20937
spar100-075-1,100,75,0.8541246778202928,632581,28996
spar100-075-2,100,75,0.8534719114721444,596864,27520
spar100-075-3,100,75,0.8504694357609323,626467,27131
spar125-025-1,125,25,0.6619516251901083,3439,3987
spar125-025-2,125,25,0.7165554298744153,3423,3719
spar125-025-3,125,25,0.722271669613679,3338,3286
spar125-050-1,125,50,0.8362537554136614,150129,26724
spar125-050-2,125,50,0.8436879775164696,152814,27091
spar125-050-3,125,50,0.8514019304827299,158515,27581
spar125-075-1,125,75,0.8390534638421473,1700215,35313
spar125-075-2,125,75,0.8215562517276678,1681784,35014
spar125-075-3,125,75,0.8295719599513096,1602598,34969
