Feasibility selection for M+S5 with selection size 0.1,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.999817952,11701,5850
spar020-100-2,20,100,0.993995501,12558,6907
spar020-100-3,20,100,0.999999932,13104,3930
spar030-060-1,30,60,0.938579641,488,1152
spar030-060-2,30,60,0.999977587,357,245
spar030-060-3,30,60,0.969987297,2683,2680
spar030-070-1,30,70,0.941705897,2452,3644
spar030-070-2,30,70,0.999940111,2267,1582
spar030-070-3,30,70,0.994202908,4144,3312
spar030-080-1,30,80,0.971226669,14077,11141
spar030-080-2,30,80,0.999999927,9083,3632
spar030-080-3,30,80,0.999998282,14669,4398
spar030-090-1,30,90,0.999998284,29797,17874
spar030-090-2,30,90,0.999971291,50030,25000
spar030-090-3,30,90,0.999999869,33858,13540
spar030-100-1,30,100,0.998919065,117664,31083
spar030-100-2,30,100,0.991341398,127328,31087
spar030-100-3,30,100,0.995569736,120440,30836
spar040-030-1,40,30,0.999642215,142,140
spar040-030-2,40,30,0.975879474,152,225
spar040-030-3,40,30,0.973157235,165,240
spar040-040-1,40,40,0.853125012,247,672
spar040-040-2,40,40,0.997819735,245,456
spar040-040-3,40,40,0.887141284,263,702
spar040-050-1,40,50,0.923836771,589,1276
spar040-050-2,40,50,0.951987213,656,1365
spar040-050-3,40,50,0.964385884,670,1541
spar040-060-1,40,60,0.93491684,2085,3744
spar040-060-2,40,60,0.987216991,1549,1694
spar040-060-3,40,60,0.999995955,5300,3180
spar040-070-1,40,70,0.995262608,11565,9387
spar040-070-2,40,70,0.997853559,10885,9172
spar040-070-3,40,70,0.993266874,17437,12248
spar040-080-1,40,80,0.996532817,56790,32386
spar040-080-2,40,80,0.998654159,48850,27446
spar040-080-3,40,80,0.993736937,86525,30544
spar040-090-1,40,90,0.993989862,157594,33484
spar040-090-2,40,90,0.99071864,204730,34300
spar040-090-3,40,90,0.999812448,200103,30000
spar040-100-1,40,100,0.997891027,556457,40000
spar040-100-2,40,100,0.989800946,593366,40779
spar040-100-3,40,100,0.969370401,529202,37672
spar050-030-1,50,30,0.992086501,258,425
spar050-030-2,50,30,0.847730721,275,675
spar050-030-3,50,30,0.886027163,245,696
spar050-040-1,50,40,0.92223565,452,1080
spar050-040-2,50,40,0.922629671,574,1482
spar050-040-3,50,40,0.978325193,502,1200
spar050-050-1,50,50,0.867389623,1836,4575
spar050-050-2,50,50,0.933737124,1911,4011
spar050-050-3,50,50,0.943035197,2394,4302
spar060-020-1,60,20,0.845592961,224,462
spar060-020-2,60,20,0.999733941,233,299
spar060-020-3,60,20,0.7840951,227,440
spar070-025-1,70,25,0.824337606,465,1104
spar070-025-2,70,25,0.769426673,433,1204
spar070-025-3,70,25,0.846772867,510,1275
spar070-050-1,70,50,0.93459951,10777,13732
spar070-050-2,70,50,0.943088746,5439,8688
spar070-050-3,70,50,0.993068197,8225,9864
spar070-075-1,70,75,0.974273101,612406,53518
spar070-075-2,70,75,0.955587829,495184,49284
spar070-075-3,70,75,0.959121116,529786,49932
spar080-025-1,80,25,0.858511708,680,1700
spar080-025-2,80,25,0.744539818,639,1827
spar080-025-3,80,25,0.841797661,692,1863
spar080-050-1,80,50,0.906848849,24270,26545
spar080-050-2,80,50,0.958004817,15287,17996
spar080-050-3,80,50,0.93861317,15395,17643
spar080-075-1,80,75,0.966201791,1137158,57893
spar080-075-2,80,75,0.965135104,996803,57015
spar080-075-3,80,75,0.961458023,1127699,56172
spar090-025-1,90,25,0.803573135,923,2484
spar090-025-2,90,25,0.8149797,865,2322
spar090-025-3,90,25,0.839588931,966,2400
spar090-050-1,90,50,0.932029331,37301,35539
spar090-050-2,90,50,0.959968108,26509,27204
spar090-050-3,90,50,0.944906142,27198,27049
spar090-075-1,90,75,0.945756961,2131760,68110
spar090-075-2,90,75,0.946658511,1966764,68295
spar090-075-3,90,75,0.954008777,2048918,67560
spar100-025-1,100,25,0.797889037,1207,3240
spar100-025-2,100,25,0.798146719,1259,3250
spar100-025-3,100,25,0.83383223,1260,3276
spar100-050-1,100,50,0.913398577,72777,48597
spar100-050-2,100,50,0.914138114,48290,42169
spar100-050-3,100,50,0.930265609,52951,44456
spar100-075-1,100,75,0,3596761,0
spar100-075-2,100,75,0,3281860,0
spar100-075-3,100,75,0,3510062,0
spar125-025-1,125,25,0.779016208,2486,7192
spar125-025-2,125,25,0.825726862,2664,6916
spar125-025-3,125,25,0.835422577,2470,6175
spar125-050-1,125,50,0.915275834,228285,63596
spar125-050-2,125,50,0.922315244,229528,66993
spar125-050-3,125,50,0.928756302,249143,67249
spar125-075-1,125,75,0,12845805,0
spar125-075-2,125,75,0,12739984,0
spar125-075-3,125,75,0,11660122,0
