Optimality selection (neural nets) for M+barSP3 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9705739007748009,1105,596
spar020-100-2,20,100,0.8740876421475271,1105,638
spar020-100-3,20,100,0.9729369699722964,1122,694
spar030-060-1,30,60,0.809948161920156,2786,1186
spar030-060-2,30,60,0.9996524338751435,2565,943
spar030-060-3,30,60,0.8476914226351221,3034,1160
spar030-070-1,30,70,0.778714993436576,3116,1496
spar030-070-2,30,70,0.9480859888495929,2953,1078
spar030-070-3,30,70,0.8940624880704666,3459,1234
spar030-080-1,30,80,0.8031501094648117,3438,1635
spar030-080-2,30,80,0.9881174034838826,3240,1382
spar030-080-3,30,80,0.9957387211762478,3656,1428
spar030-090-1,30,90,0.887199083795153,3760,1908
spar030-090-2,30,90,0.8672516903516088,3811,1857
spar030-090-3,30,90,0.9220377597628526,3691,1895
spar030-100-1,30,100,0.8263995712374699,4005,1810
spar030-100-2,30,100,0.8030129509559614,4005,2143
spar030-100-3,30,100,0.8532831146098345,4005,2034
spar040-030-1,40,30,0.9879119367874515,3180,753
spar040-030-2,40,30,0.9214387151702014,3320,607
spar040-030-3,40,30,0.9122053244120892,3105,695
spar040-040-1,40,40,0.7756198540505913,5044,1834
spar040-040-2,40,40,0.917144734349964,5191,1457
spar040-040-3,40,40,0.7959387236824887,4738,1840
spar040-050-1,40,50,0.8126642699001466,6348,2212
spar040-050-2,40,50,0.8386160502772255,6351,2057
spar040-050-3,40,50,0.8545327527429649,6437,2292
spar040-060-1,40,60,0.7947628009320413,7187,2828
spar040-060-2,40,60,0.9014919915478253,6895,2227
spar040-060-3,40,60,0.9484954781646235,7312,2706
spar040-070-1,40,70,0.8603829363155728,7591,3087
spar040-070-2,40,70,0.8595443477618808,7922,2913
spar040-070-3,40,70,0.8672167712255853,8306,2991
spar040-080-1,40,80,0.8310669454516761,8913,3528
spar040-080-2,40,80,0.8370901583426303,8102,3665
spar040-080-3,40,80,0.8557228859778757,9103,3758
spar040-090-1,40,90,0.8165213097977285,9574,3981
spar040-090-2,40,90,0.8063111660021247,9604,3970
spar040-090-3,40,90,0.852334056667932,9508,4002
spar040-100-1,40,100,0.8257768020364988,9769,4172
spar040-100-2,40,100,0.7847319856427228,9805,4429
spar040-100-3,40,100,0.7185462348775956,9734,4542
spar050-030-1,50,30,0.9302350870336884,8365,2052
spar050-030-2,50,30,0.7684848615886112,7890,1970
spar050-030-3,50,30,0.7921951033064122,8111,2417
spar050-040-1,50,40,0.8384065600874945,11134,3361
spar050-040-2,50,40,0.8256912004730628,10210,3291
spar050-040-3,50,40,0.8869511918893997,10248,3268
spar050-050-1,50,50,0.7231943269739737,13253,4461
spar050-050-2,50,50,0.7896137625928291,12117,3941
spar050-050-3,50,50,0.810485671675307,13618,4549
spar060-020-1,60,20,0.8139315764282543,10426,2548
spar060-020-2,60,20,0.964876302822158,8480,2354
spar060-020-3,60,20,0.7448275379311259,8704,2373
spar070-025-1,70,25,0.7705588768159272,22446,5051
spar070-025-2,70,25,0.7177063826661281,21894,5377
spar070-025-3,70,25,0.7846674307937616,23426,6951
spar070-050-1,70,50,0.7713971920446347,40277,10694
spar070-050-2,70,50,0.8021010790391067,37855,9952
spar070-050-3,70,50,0.8526635052345819,39004,10383
spar070-075-1,70,75,0.7414792389885168,48838,16899
spar070-075-2,70,75,0.7192935681529476,49873,18663
spar070-075-3,70,75,0.7281228546709041,49682,17656
spar080-025-1,80,25,0.7799897576062381,35323,7531
spar080-025-2,80,25,0.6926268432757181,36374,8472
spar080-025-3,80,25,0.7637388860336214,41078,9274
spar080-050-1,80,50,0.716821929044873,62862,14557
spar080-050-2,80,50,0.7873348698734508,59693,12830
spar080-050-3,80,50,0.7714292194277999,61874,14536
spar080-075-1,80,75,0.7225361152867357,75163,18035
spar080-075-2,80,75,0.7265805774728495,74359,19524
spar080-075-3,80,75,0.724916816430317,75388,17472
spar090-025-1,90,25,0.7183566994938039,58353,12851
spar090-025-2,90,25,0.7326776782684923,57881,11014
spar090-025-3,90,25,0.7493246275974536,59969,11258
spar090-050-1,90,50,0.7377893529967899,89966,14735
spar090-050-2,90,50,0.7718032521591469,89897,14308
spar090-050-3,90,50,0.7701007478710222,90172,14698
spar090-075-1,90,75,0.6797022257576093,107376,21404
spar090-075-2,90,75,0.6820129163521345,108584,21164
spar090-075-3,90,75,0.6899849897451186,108621,21051
spar100-025-1,100,25,0.7062623442812797,82504,12276
spar100-025-2,100,25,0.7158450540280686,78435,12314
spar100-025-3,100,25,0.7389996343620191,78307,12076
spar100-050-1,100,50,0.7000262012522569,129027,16367
spar100-050-2,100,50,0.7173783460194761,128795,15366
spar100-050-3,100,50,0.7225545958500953,126877,16300
spar100-075-1,100,75,0.6759119160472302,149692,22861
spar100-075-2,100,75,0.6789894979496847,149038,22062
spar100-075-3,100,75,0.68198476678168,149087,22027
spar125-025-1,125,25,0.6738638542132854,187825,14213
spar125-025-2,125,25,0.7143035922390781,186028,14420
spar125-025-3,125,25,0.7311916043992777,187196,11400
spar125-050-1,125,50,0.6839849884730194,257490,18091
spar125-050-2,125,50,0.6822485075919522,256087,18130
spar125-050-3,125,50,0.6862263077568221,260654,18378
spar125-075-1,125,75,0.6624526406548666,301569,28391
spar125-075-2,125,75,0.6456811365906712,301543,28737
spar125-075-3,125,75,0.6522176874588755,297483,28627
