Optimality selection (neural nets) for M+barSP3star with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9705739007748009,1105,596
spar020-100-2,20,100,0.8740876421475271,1105,638
spar020-100-3,20,100,0.9729369699722964,1122,694
spar030-060-1,30,60,0.8160843547941559,1985,1170
spar030-060-2,30,60,0.999783756265308,1782,759
spar030-060-3,30,60,0.8491716125462666,2499,1174
spar030-070-1,30,70,0.7823487119744906,2527,1273
spar030-070-2,30,70,0.9516143965566122,2427,1194
spar030-070-3,30,70,0.894323236094308,2927,1201
spar030-080-1,30,80,0.802454062780786,3184,1567
spar030-080-2,30,80,0.9885188314316921,2946,1199
spar030-080-3,30,80,0.9952586395902845,3383,1406
spar030-090-1,30,90,0.8875874019775013,3602,1872
spar030-090-2,30,90,0.8666579124282022,3742,1855
spar030-090-3,30,90,0.9223655608272927,3584,1852
spar030-100-1,30,100,0.8264019567402968,4004,1809
spar030-100-2,30,100,0.8030129509559614,4004,2143
spar030-100-3,30,100,0.8532831146098345,4005,2034
spar040-030-1,40,30,0.9888262934040086,1075,369
spar040-030-2,40,30,0.9364648132602856,1259,373
spar040-030-3,40,30,0.9349930331558409,1178,600
spar040-040-1,40,40,0.7893293115439912,2277,1387
spar040-040-2,40,40,0.9281168021562384,2421,1192
spar040-040-3,40,40,0.8047033573727406,2328,1515
spar040-050-1,40,50,0.819404180773707,3679,1939
spar040-050-2,40,50,0.8429962599850898,3824,1591
spar040-050-3,40,50,0.8592507784976873,3946,1853
spar040-060-1,40,60,0.7961630748501252,5008,2451
spar040-060-2,40,60,0.9040501932298892,4579,2180
spar040-060-3,40,60,0.9505112367397097,5587,2501
spar040-070-1,40,70,0.8591625732026633,6199,2550
spar040-070-2,40,70,0.8619451790462732,6284,2954
spar040-070-3,40,70,0.8683467678053766,6860,2735
spar040-080-1,40,80,0.8318122352034102,8045,3383
spar040-080-2,40,80,0.8368152599796064,7406,3147
spar040-080-3,40,80,0.8555948908417607,8500,3609
spar040-090-1,40,90,0.8168841910456623,9208,4275
spar040-090-2,40,90,0.8052396805709147,9351,3869
spar040-090-3,40,90,0.8515952188820465,9229,3874
spar040-100-1,40,100,0.8257768020364988,9765,4172
spar040-100-2,40,100,0.7847884400853947,9803,4430
spar040-100-3,40,100,0.7187825953799093,9727,4565
spar050-030-1,50,30,0.9535268392370732,2617,1212
spar050-030-2,50,30,0.7940053817975096,2733,1566
spar050-030-3,50,30,0.8287640741754723,2583,1514
spar050-040-1,50,40,0.8474992705038253,4759,2552
spar050-040-2,50,40,0.8332791940658693,4969,2270
spar050-040-3,50,40,0.895183475925461,4784,2244
spar050-050-1,50,50,0.7296856898299809,7861,3751
spar050-050-2,50,50,0.7966310235499676,7239,3441
spar050-050-3,50,50,0.8148657836883606,8133,3709
spar060-020-1,60,20,0.8397528623777438,1904,1350
spar060-020-2,60,20,0.9755552609815079,1968,1015
spar060-020-3,60,20,0.7525039702634262,1973,1376
spar070-025-1,70,25,0.7977975463403781,5298,3334
spar070-025-2,70,25,0.7502028264365228,4936,3527
spar070-025-3,70,25,0.8125886763302651,5941,3104
spar070-050-1,70,50,0.7771291973587308,22535,8949
spar070-050-2,70,50,0.8090590335627427,19488,7919
spar070-050-3,70,50,0.8579325327293571,21262,7944
spar070-075-1,70,75,0.7416784978258999,41968,16882
spar070-075-2,70,75,0.7195011583439405,41995,17031
spar070-075-3,70,75,0.7282413312237692,41931,14960
spar080-025-1,80,25,0.8131301101132227,8079,5031
spar080-025-2,80,25,0.7252163289827309,7810,5103
spar080-025-3,80,25,0.7938650559695288,9028,5217
spar080-050-1,80,50,0.7243057798613523,34943,12874
spar080-050-2,80,50,0.7994433176568536,31025,11287
spar080-050-3,80,50,0.7787420624210811,32371,11705
spar080-075-1,80,75,0.7237237640926797,64145,18699
spar080-075-2,80,75,0.7282110181563803,62784,20382
spar080-075-3,80,75,0.7269088100652872,63932,19708
spar090-025-1,90,25,0.7508571003259374,12536,7697
spar090-025-2,90,25,0.7687768230921663,12365,6700
spar090-025-3,90,25,0.779536274715617,13147,6372
spar090-050-1,90,50,0.7487900099460533,49184,17371
spar090-050-2,90,50,0.7851499642855507,46700,16197
spar090-050-3,90,50,0.7810101954754026,47147,16293
spar090-075-1,90,75,0.6806972361309513,91858,22330
spar090-075-2,90,75,0.6831802160474855,91348,22107
spar090-075-3,90,75,0.6915412271070378,91862,22022
spar100-025-1,100,25,0.7424570071854598,17471,9727
spar100-025-2,100,25,0.7512363554159931,17003,10023
spar100-025-3,100,25,0.769472743517188,17363,8573
spar100-050-1,100,50,0.7087554388358211,70547,19532
spar100-050-2,100,50,0.7273569070947241,67079,18710
spar100-050-3,100,50,0.7335170001889153,67004,18971
spar100-075-1,100,75,0.6767390280885482,126921,23664
spar100-075-2,100,75,0.6802050145457313,125182,23213
spar100-075-3,100,75,0.6833198020058114,126646,22819
spar125-025-1,125,25,0.7088848882666341,38674,18067
spar125-025-2,125,25,0.744809871472104,38338,18116
spar125-025-3,125,25,0.7605651369389717,38829,17513
spar125-050-1,125,50,0.6974964537479531,139699,21653
spar125-050-2,125,50,0.6946755358628098,140298,22023
spar125-050-3,125,50,0.6995348360534643,142327,22027
spar125-075-1,125,75,0.6633278745349436,257960,28891
spar125-075-2,125,75,0.6465977777033061,256785,29466
spar125-075-3,125,75,0.6527666201691954,252663,29055
