M+tri with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts, time_total
spar020-100-1,20,100,1.0,0,0,612,612,0.03188441054796294
spar020-100-2,20,100,0.9450867052023122,0,0,694,694,0.060141520739757155
spar020-100-3,20,100,1.0,0,0,638,638,0.03354061905286926
spar030-060-1,30,60,0.9678631051752922,0,0,3899,3899,0.2706990110685541
spar030-060-2,30,60,0.9741662284986933,0,0,1721,1721,0.07561424722806787
spar030-060-3,30,60,0.9601015367438726,0,0,3772,3772,0.22309350267725747
spar030-070-1,30,70,0.9455042225534028,0,0,5136,5136,0.3154223331687511
spar030-070-2,30,70,0.986050219210841,0,0,2215,2215,0.124357050750447
spar030-070-3,30,70,0.9417391870405284,0,0,2724,2724,0.11038713574198633
spar030-080-1,30,80,0.9686512210348263,0,0,4231,4231,0.30898714820549444
spar030-080-2,30,80,1.0,0,0,2570,2570,0.1252885182326744
spar030-080-3,30,80,0.9937378514494972,0,0,2461,2461,0.10462366197048056
spar030-090-1,30,90,1.0,0,0,2711,2711,0.16915677175960786
spar030-090-2,30,90,0.9907049049541545,0,0,2419,2419,0.18643970298501022
spar030-090-3,30,90,1.0,0,0,2489,2489,0.18094407480022445
spar030-100-1,30,100,0.9939994544958632,0,0,2487,2487,0.24748003441845734
spar030-100-2,30,100,1.0,0,0,2101,2101,0.25525954057590994
spar030-100-3,30,100,0.975457403078907,0,0,2146,2146,0.20537554707610894
spar040-030-1,40,30,1.0,0,0,1579,1579,0.06965063827543405
spar040-030-2,40,30,0.9878640776699029,0,0,1542,1542,0.09836194747110616
spar040-030-3,40,30,1.0,0,0,1776,1776,0.07963013340747516
spar040-040-1,40,40,0.9740608336643435,0,0,6214,6214,0.3867831085907123
spar040-040-2,40,40,1.0,0,0,4492,4492,0.22647632652474226
spar040-040-3,40,40,0.9774891774891775,0,0,4184,4184,0.34871488047016186
spar040-050-1,40,50,0.9974792034282831,0,0,7957,7957,0.5831019395136359
spar040-050-2,40,50,0.995120213328727,0,0,7133,7133,0.5319733928066386
spar040-050-3,40,50,0.9954576477815847,0,0,4832,4832,0.24155956837912118
spar040-060-1,40,60,0.9562749810086518,0,0,11502,11502,0.8272045429487704
spar040-060-2,40,60,0.9893006288393364,0,0,5725,5725,0.3617674093639298
spar040-060-3,40,60,1.0,0,0,5457,5457,0.32006828564443524
spar040-070-1,40,70,1.0,0,0,7586,7586,0.4345225397753687
spar040-070-2,40,70,1.0,0,0,7153,7153,0.41545127487308875
spar040-070-3,40,70,0.9943342776203973,0,0,6932,6932,0.4187846641324189
spar040-080-1,40,80,1.0000000000000002,0,0,7457,7457,0.564480379561763
spar040-080-2,40,80,0.9999999999999999,0,0,7087,7087,0.490699406545259
spar040-080-3,40,80,0.9911894273127754,0,0,7454,7454,0.5272971803709332
spar040-090-1,40,90,1.0,0,0,6779,6779,0.5152779841713446
spar040-090-2,40,90,0.9954150122896579,0,0,9454,9454,0.734632434362851
spar040-090-3,40,90,0.9974769774189479,0,0,7102,7102,0.5357163401387286
spar040-100-1,40,100,0.9956097173908378,0,0,5402,5402,0.5437046699806825
spar040-100-2,40,100,0.9843763949647353,0,0,5408,5408,0.5404153224453392
spar040-100-3,40,100,0.898403376410242,0,0,6216,6216,0.5900476489509074
spar050-030-1,50,30,0.9999999999999996,0,0,4056,4056,0.31588791710808195
spar050-030-2,50,30,0.9984984984984981,0,0,6952,6952,0.5535148890987447
spar050-030-3,50,30,0.988697863877149,0,0,6451,6451,0.5385874410979401
spar050-040-1,50,40,0.9999999999999998,0,0,11737,11737,1.1894384350627263
spar050-040-2,50,40,0.993428298765822,0,0,12295,12295,1.0422009596901383
spar050-040-3,50,40,1.0,0,0,6300,6300,0.4627904356954886
spar050-050-1,50,50,0.9096025715033513,0,0,14806,14806,1.1438115086118046
spar050-050-2,50,50,0.999527304555377,0,0,14986,14986,1.2794573220714334
spar050-050-3,50,50,0.983990046539287,0,0,15946,15946,1.3416424387250814
spar060-020-1,60,20,1.0,0,0,4892,4892,0.4832869147543981
spar060-020-2,60,20,1.0,0,0,2977,2977,0.2659877450157957
spar060-020-3,60,20,1.0,0,0,5592,5592,0.6367840074014062
spar070-025-1,70,25,0.9952923810393355,0,0,13699,13699,1.5914929365463628
spar070-025-2,70,25,0.9996323529411765,0,0,13757,13757,1.7372347909246493
spar070-025-3,70,25,0.9948574798392824,0,0,12902,12902,1.6482228714964364
spar070-050-1,70,50,0.9734452362221426,0,0,30000,30000,5.595548669999857
spar070-050-2,70,50,1.0,0,0,21361,21361,4.11585370238101
spar070-050-3,70,50,1.0,0,0,20000,20000,2.3018209305447
spar070-075-1,70,75,0.9502067765502286,0,0,30000,30000,6.824467664386489
spar070-075-2,70,75,0.9088604525109802,0,0,20000,20000,3.105427498334201
spar070-075-3,70,75,0.9230691562632971,0,0,20000,20000,3.5293866156301945
spar080-025-1,80,25,0.9999999999999998,0,0,18120,18120,3.150288038866975
spar080-025-2,80,25,0.9757906480136894,0,0,20776,20776,3.4127614340704397
spar080-025-3,80,25,0.9940545510266624,0,0,18938,18938,3.621686983783057
spar080-050-1,80,50,0.9083865828731421,0,0,20000,20000,4.5616296516449495
spar080-050-2,80,50,0.9997312787871971,0,0,22515,22515,6.260208392255365
spar080-050-3,80,50,0.984150033063597,0,0,30000,30000,8.441511691729502
spar080-075-1,80,75,0.9245392269524394,0,0,30000,30000,8.054360669961497
spar080-075-2,80,75,0.9312597073741772,0,0,30000,30000,7.300105700137578
spar080-075-3,80,75,0.932802583231266,0,0,30000,30000,7.680935086693282
spar090-025-1,90,25,0.9808337294676863,0,0,29966,29966,8.138366813032988
spar090-025-2,90,25,0.9788450914535461,0,0,28980,28980,9.553363589298641
spar090-025-3,90,25,0.9992862131077201,0,0,30894,30894,9.113305574064398
spar090-050-1,90,50,0.9572152243734857,0,0,20000,20000,27.419975588301554
spar090-050-2,90,50,0.9965494161912692,0,0,30000,30000,30.856397015469128
spar090-050-3,90,50,0.9863123272824864,0,0,30000,30000,33.73910521597824
spar090-075-1,90,75,0.8688126296910355,0,0,40000,40000,18.899300245914617
spar090-075-2,90,75,0.8660700111128751,0,0,30000,30000,13.320722320225912
spar090-075-3,90,75,0.8831283304619576,0,0,30000,30000,11.708232267064261
spar100-025-1,100,25,0.9751487415854602,0,0,37032,37032,15.719595331457413
spar100-025-2,100,25,0.9950409063104901,0,0,36463,36463,18.268233872939334
spar100-025-3,100,25,0.9983518452167675,0,0,37345,37345,18.519837351216893
spar100-050-1,100,50,0.9116437278744209,0,0,20000,20000,50.01405320479944
spar100-050-2,100,50,0.9293729505418457,0,0,20000,20000,40.27103426745725
spar100-050-3,100,50,0.9395521152605977,0,0,20000,20000,41.17287635001367
spar100-075-1,100,75,0.8645558253099149,0,0,40000,40000,31.422828113839728
spar100-075-2,100,75,0.8679641259417471,0,0,40000,40000,24.975264130502524
spar100-075-3,100,75,0.8686860639281048,0,0,40000,40000,23.652139888499562
spar125-025-1,125,25,0.918149746534961,0,0,60000,60000,110.63796744148146
spar125-025-2,125,25,0.9625060461728788,0,0,60000,60000,109.00182009165474
spar125-025-3,125,25,0.9810720025743108,0,0,60000,60000,97.62081603622084
spar125-050-1,125,50,0.8996659410313154,0,0,30000,30000,222.8989730788221
spar125-050-2,125,50,0.8855502421491881,0,0,30000,30000,200.59490122669672
spar125-050-3,125,50,0.8949922757508812,0,0,30000,30000,207.37901079291873
spar125-075-1,125,75,0.8560734900020616,0,0,60000,60000,138.6083681073203
spar125-075-2,125,75,0.8262418705951036,0,0,60000,60000,138.36562630327535
spar125-075-3,125,75,0.8388148092383649,0,0,60000,60000,103.06787908239835
