Feasibility selection for M+triangle+S3 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts, time_total
spar020-100-1,20,100,1.0,1051,105,630,735,0.3706167998516321
spar020-100-2,20,100,0.9999971636995914,1070,428,707,1135,0.18698977512940473
spar020-100-3,20,100,1.0,1086,108,602,710,0.09618113312353671
spar030-060-1,30,60,0.9999992412526895,756,300,4310,4610,0.6440991280342132
spar030-060-2,30,60,0.9993233136074913,668,131,1547,1678,0.1118617844858818
spar030-060-3,30,60,0.9999877144650833,1197,476,3269,3745,0.6895771515137312
spar030-070-1,30,70,0.9799339943469695,1200,444,4776,5220,0.7270114184902923
spar030-070-2,30,70,0.9999768900752329,1174,234,2246,2480,0.1986284748036269
spar030-070-3,30,70,0.9994690187848326,1470,588,2754,3342,0.44037859104719246
spar030-080-1,30,80,0.9999909788411018,2003,600,5099,5699,0.8929321721498127
spar030-080-2,30,80,1.0,1780,356,2466,2822,0.28479266234899114
spar030-080-3,30,80,0.9999937861608048,2083,416,2217,2633,0.26076565488438064
spar030-090-1,30,90,1.0,2551,255,2508,2763,0.37337165462668054
spar030-090-2,30,90,0.999861456439536,2956,590,2338,2928,0.4152706139229849
spar030-090-3,30,90,1.0,2643,264,2243,2507,0.3270583364082995
spar030-100-1,30,100,0.999988593288863,3838,766,2259,3025,0.574840371220489
spar030-100-2,30,100,1.0,3923,784,2181,2965,0.5114526458582986
spar030-100-3,30,100,0.999989840243774,3865,1158,2209,3367,0.7153802089069359
spar040-030-1,40,30,1.0,243,24,1364,1388,0.08917100891994778
spar040-030-2,40,30,0.9999999988031613,281,78,1704,1782,0.14944944848866726
spar040-030-3,40,30,1.0,234,23,1814,1837,0.10444539784839435
spar040-040-1,40,40,0.9985646788345499,567,280,6246,6526,0.8988529377929808
spar040-040-2,40,40,1.0,613,61,2649,2710,0.22115027395739162
spar040-040-3,40,40,0.9999999996817155,621,186,6012,6198,0.49405586527973355
spar040-050-1,40,50,0.9999998207663355,1114,333,8984,9317,0.9803690756380092
spar040-050-2,40,50,0.9999776312089079,1217,363,8583,8946,1.0142919888403412
spar040-050-3,40,50,0.999995323641715,1266,218,4154,4372,0.3653605549134227
spar040-060-1,40,60,0.9897899814145484,1861,627,11426,12053,1.7076824945233966
spar040-060-2,40,60,0.9999257161565647,1619,322,5566,5888,0.5223258584246651
spar040-060-3,40,60,1.0,2381,238,5165,5403,0.4896474984288943
spar040-070-1,40,70,1.0,2995,331,7586,7917,0.7286451567288168
spar040-070-2,40,70,1.0,2889,358,7153,7511,0.6709540935426048
spar040-070-3,40,70,0.9999923497621322,3347,842,6932,7774,0.8352578867634293
spar040-080-1,40,80,1.0,4742,948,7457,8405,0.9153389235361828
spar040-080-2,40,80,1.0,4520,551,7087,7638,0.8132112588627933
spar040-080-3,40,80,0.9993260599985152,5418,1623,7860,9483,2.0230215379015135
spar040-090-1,40,90,0.9999999999999998,6491,1090,6779,7869,0.9929464332799398
spar040-090-2,40,90,0.9998760418858061,7002,1400,9434,10834,1.9067669659507374
spar040-090-3,40,90,0.9999999990537661,6906,1380,7102,8482,1.1907956392115011
spar040-100-1,40,100,0.9999458857033774,9395,1878,5321,7199,1.564246988384184
spar040-100-2,40,100,0.9999699557591173,9579,1914,5408,7322,1.9775405183863768
spar040-100-3,40,100,0.9232252844428295,9251,2775,6216,8991,2.806596311758767
spar050-030-1,50,30,1.0000000000000004,467,46,3433,3479,0.3751749684834067
spar050-030-2,50,30,0.9999873830978722,514,153,5658,5811,0.6661778135166969
spar050-030-3,50,30,0.9996518971600091,479,138,5974,6112,0.6602321807786211
spar050-040-1,50,40,0.9999999999280924,1078,321,11004,11325,1.5376134299094701
spar050-040-2,50,40,0.9999644954454039,1310,393,13733,14126,1.5534933176422783
spar050-040-3,50,40,1.0,1186,143,5879,6022,0.6109279201773461
spar050-050-1,50,50,0.927582143185305,2400,540,14806,15346,2.0494720385977416
spar050-050-2,50,50,1.0,2323,696,14421,15117,2.051932083466454
spar050-050-3,50,50,0.9999939020904378,2548,762,16074,16836,4.304201880073379
spar060-020-1,60,20,0.9999999999999996,275,54,4754,4808,0.5344172590830567
spar060-020-2,60,20,0.9999999999999992,322,32,2837,2869,0.2819428332422831
spar060-020-3,60,20,1.0,330,69,5328,5397,0.7045081947562721
spar070-025-1,70,25,0.9999980294903591,787,234,13024,13258,1.8823516722659406
spar070-025-2,70,25,0.9999999790847817,736,219,14514,14733,2.159121250761018
spar070-025-3,70,25,0.9998932077841127,915,264,12455,12719,2.392360528549034
spar070-050-1,70,50,0.9870401479799734,6608,1820,30000,31820,9.130668799043633
spar070-050-2,70,50,1.0,5287,1584,21928,23512,6.443109177935185
spar070-050-3,70,50,1.0,6058,664,20000,20664,3.0579870715064317
spar070-075-1,70,75,0.9643548269986998,22200,4588,30000,34588,21.608148797511603
spar070-075-2,70,75,0.9267297725216573,21114,5786,30000,35786,22.18440000191731
spar070-075-3,70,75,0.9443430772234853,21320,4770,30000,34770,20.07620955951097
spar080-025-1,80,25,1.0000000000000004,1217,363,18755,19118,4.274235531545855
spar080-025-2,80,25,0.9899975134326063,1062,361,21288,21649,4.963335114976871
spar080-025-3,80,25,0.9998130066207994,1319,524,20342,20866,5.830089126067833
spar080-050-1,80,50,0.9253474553498391,10258,2146,30000,32146,10.64135925343544
spar080-050-2,80,50,0.9999994889031003,8680,1736,20000,21736,5.13211738227983
spar080-050-3,80,50,0.9929004551516066,8863,2732,40000,42732,18.503244706604164
spar080-075-1,80,75,0.9383566605648376,33045,12417,40000,52417,52.19200693642233
spar080-075-2,80,75,0.9447679825806513,31783,9534,30000,39534,27.55811410341812
spar080-075-3,80,75,0.9476573548161171,32786,9834,30000,39834,25.448269849333883
spar090-025-1,90,25,0.9891546226585314,1839,583,31145,31728,11.853142421947268
spar090-025-2,90,25,0.993020144098659,1737,514,30561,31075,13.946248124480917
spar090-025-3,90,25,0.9999999973321568,1872,456,29344,29800,11.065636549717965
spar090-050-1,90,50,0.9674471111665774,14205,2952,30000,32952,15.48998874688914
spar090-050-2,90,50,0.9999999987578353,12738,2546,20000,22546,11.314855483225983
spar090-050-3,90,50,0.9954399938373543,12780,3174,30000,33174,18.59112981702674
spar090-075-1,90,75,0.8807576854197535,47607,17570,40000,57570,73.29924943315018
spar090-075-2,90,75,0.8781556884996169,46098,18436,40000,58436,74.0695185131026
spar090-075-3,90,75,0.8944519704171662,46718,17114,40000,57114,66.85785788244903
spar100-025-1,100,25,0.9870524931192226,2306,817,39833,40650,23.0071443466004
spar100-025-2,100,25,0.9999994738700194,2332,845,37197,38042,29.03323921786614
spar100-025-3,100,25,0.9999999294589019,2468,738,30000,30738,19.477481196880035
spar100-050-1,100,50,0.9218033076938839,20119,2566,30000,32566,80.65850077177856
spar100-050-2,100,50,0.9428828631985391,18045,3313,30000,33313,67.4736540609465
spar100-050-3,100,50,0.9514774098972322,18378,3848,30000,33848,71.96691687559178
spar100-075-1,100,75,0.8738587258359968,64945,24796,50000,74796,130.2635951109478
spar100-075-2,100,75,0.8793240871657401,63004,20000,40000,60000,82.82651006188644
spar100-075-3,100,75,0.8800141070670767,64757,20000,40000,60000,86.78852931800611
spar125-025-1,125,25,0.9307686374744107,5219,1896,66964,68860,154.26243025228905
spar125-025-2,125,25,0.9724826667689959,5356,1974,68234,70208,156.75610502183372
spar125-025-3,125,25,0.9854051616016068,5212,1768,69765,71533,147.87166361470554
spar125-050-1,125,50,0.9090806959906981,39432,15126,40000,55126,172.23686897497282
spar125-050-2,125,50,0.8970933424576342,40048,15868,40000,55868,166.06131446869585
spar125-050-3,125,50,0.9046509538925608,40525,15643,40000,55643,139.5201720083969
spar125-075-1,125,75,0.8634534160963294,133242,30000,60000,90000,381.8615142443523
spar125-075-2,125,75,0.8325515700308768,132145,30000,60000,90000,339.2750378698911
spar125-075-3,125,75,0.8473610964926641,129267,30000,60000,90000,355.4645790689774
