Optimality selection (neural nets) for M+triangle+S3 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts, time_total
spar020-100-1,20,100,1.0,1051,106,630,736,0.37093168319734104
spar020-100-2,20,100,0.9993870934522987,1070,186,709,895,0.1168387989000621
spar020-100-3,20,100,1.0000000000000002,1086,145,638,783,0.08955120584505494
spar030-060-1,30,60,0.9999873570033092,756,129,3176,3305,0.36131860322348075
spar030-060-2,30,60,0.9999010802419188,668,100,1586,1686,0.12950334117886086
spar030-060-3,30,60,0.9997057725251517,1197,183,3511,3694,0.4027169249638973
spar030-070-1,30,70,0.9789167005067482,1200,236,4889,5125,0.5013005790733587
spar030-070-2,30,70,0.9999778206087802,1174,133,1956,2089,0.17997395845850406
spar030-070-3,30,70,0.9959617296314783,1470,250,2695,2945,0.3044586403266294
spar030-080-1,30,80,0.9999568536553556,2003,407,5080,5487,0.7487338753362565
spar030-080-2,30,80,1.0,1780,178,2392,2570,0.22788176684662176
spar030-080-3,30,80,0.9999937861608053,2083,229,2411,2640,0.2435219717281143
spar030-090-1,30,90,1.0,2551,256,2511,2767,0.3485773624324793
spar030-090-2,30,90,0.9994775138085548,2956,458,2341,2799,0.39400445330647926
spar030-090-3,30,90,1.0,2643,266,2307,2573,0.2816129697184806
spar030-100-1,30,100,0.9999558646403617,3838,524,2216,2740,0.45331187772353587
spar030-100-2,30,100,1.0,3923,432,2181,2613,0.4846929542818543
spar030-100-3,30,100,0.9999294002706682,3865,705,2182,2887,0.6855696542334044
spar040-030-1,40,30,0.9999999999999996,243,24,1315,1339,0.09373786605647183
spar040-030-2,40,30,0.9982390450097042,281,28,1600,1628,0.10874321098162909
spar040-030-3,40,30,1.0,234,23,1832,1855,0.1397581719866139
spar040-040-1,40,40,0.9974436413417964,567,122,6189,6311,0.618570507504046
spar040-040-2,40,40,1.0,613,81,4077,4158,0.24786502499955532
spar040-040-3,40,40,0.9999999995902691,621,124,5769,5893,0.6138658327308804
spar040-050-1,40,50,0.9999999590217443,1114,199,8937,9136,0.9844889242540376
spar040-050-2,40,50,0.9997310962105794,1217,178,8640,8818,0.8186649425479118
spar040-050-3,40,50,0.9999870156399926,1266,126,5710,5836,0.4847097320816829
spar040-060-1,40,60,0.9886779144976424,1861,442,11383,11825,1.623428579303436
spar040-060-2,40,60,0.9996575142557751,1619,165,5566,5731,0.46615138848210336
spar040-060-3,40,60,1.0,2381,238,5048,5286,0.48765243829438987
spar040-070-1,40,70,0.9999999999999997,2995,319,7586,7905,0.6432728214022063
spar040-070-2,40,70,1.0000000000000002,2889,289,7153,7442,0.5906923958227708
spar040-070-3,40,70,0.9999932551996557,3347,464,6932,7396,0.9698841492936481
spar040-080-1,40,80,1.0000000000000002,4742,530,7457,7987,0.7336335560794396
spar040-080-2,40,80,1.0000000000000002,4520,534,7087,7621,0.8036844647158432
spar040-080-3,40,80,0.9993152519755999,5418,715,7967,8682,1.527839163220051
spar040-090-1,40,90,1.0,6491,689,6779,7468,0.9209915439878387
spar040-090-2,40,90,0.9999999999999998,7002,815,6361,7176,1.099571147458846
spar040-090-3,40,90,1.0000000000000004,6906,780,6475,7255,0.9586055731051601
spar040-100-1,40,100,0.9999112398325861,9395,1048,5321,6369,1.31466643337626
spar040-100-2,40,100,1.0,9579,1253,4923,6176,1.256617943137826
spar040-100-3,40,100,0.9231748295436838,9251,1807,6216,8023,2.499145530633541
spar050-030-1,50,30,1.0,467,46,3428,3474,0.30877143363977666
spar050-030-2,50,30,0.9999322658834143,514,71,5374,5445,0.574008671726915
spar050-030-3,50,30,0.9981890624774102,479,64,6477,6541,0.5454930036576116
spar050-040-1,50,40,1.0,1078,267,10425,10692,1.2896234702238871
spar050-040-2,50,40,0.9999640425796725,1310,185,13626,13811,1.3899996524596645
spar050-040-3,50,40,1.0,1186,118,5163,5281,0.5541317728384456
spar050-050-1,50,50,0.9273993175756415,2400,360,14806,15166,1.9575326927424612
spar050-050-2,50,50,0.999999999722053,2323,572,14694,15266,2.1970972009839898
spar050-050-3,50,50,0.9999460202363983,2548,621,16098,16719,3.5109996452702035
spar060-020-1,60,20,1.0,275,35,4830,4865,0.5222000249268604
spar060-020-2,60,20,1.0,322,32,2971,3003,0.26145234625437297
spar060-020-3,60,20,1.0000000000000004,330,43,5036,5079,0.6456226121608779
spar070-025-1,70,25,0.9997383649998989,787,225,12671,12896,2.596773149767614
spar070-025-2,70,25,0.9999955040608222,736,121,13318,13439,1.889365990920851
spar070-025-3,70,25,0.999913530291167,915,143,11741,11884,2.2135670081352146
spar070-050-1,70,50,0.9868446819099219,6608,1054,30000,31054,8.128404395303733
spar070-050-2,70,50,0.9999999999999998,5287,1197,21831,23028,6.265461341552509
spar070-050-3,70,50,1.0,6058,629,20000,20629,3.1434046469712484
spar070-075-1,70,75,0.9642861344303578,22200,3314,30000,33314,21.419672389494735
spar070-075-2,70,75,0.9267191520612477,21114,3738,30000,33738,16.016997109425574
spar070-075-3,70,75,0.9442624668512632,21320,2894,30000,32894,16.759027355004946
spar080-025-1,80,25,1.0000000000000002,1217,194,19193,19387,4.226487711461232
spar080-025-2,80,25,0.9895603863585121,1062,218,21272,21490,5.073301008105773
spar080-025-3,80,25,0.9997820693123959,1319,331,19978,20309,5.648200700832604
spar080-050-1,80,50,0.9252161993493863,10258,1515,30000,31515,10.2593730975168
spar080-050-2,80,50,0.9999994865819888,8680,1213,20000,21213,5.498008235501402
spar080-050-3,80,50,0.9918051680386814,8863,1414,30000,31414,10.316903872795592
spar080-075-1,80,75,0.9383539951507314,33045,9109,40000,49109,41.19634130119084
spar080-075-2,80,75,0.9451365868278628,31783,7338,30000,37338,25.031244756937667
spar080-075-3,80,75,0.9475687573526442,32786,7331,30000,37331,25.86891684922557
spar090-025-1,90,25,0.9888251479340003,1839,345,31290,31635,10.482933682153089
spar090-025-2,90,25,0.9920448230141956,1737,299,30012,30311,12.410362208725928
spar090-025-3,90,25,0.9999999917566778,1872,259,29344,29603,12.688761930214241
spar090-050-1,90,50,0.9674409897809757,14205,1807,30000,31807,14.097944599705443
spar090-050-2,90,50,0.9999999999072974,12738,1800,20000,21800,8.897022060409654
spar090-050-3,90,50,0.995129224059095,12780,1568,30000,31568,17.637994705406527
spar090-075-1,90,75,0.8807448927563146,47607,12210,40000,52210,71.44935950750005
spar090-075-2,90,75,0.8781495464257254,46098,12889,40000,52889,58.9059553398929
spar090-075-3,90,75,0.8944523901852429,46718,12548,40000,52548,61.03744595151693
spar100-025-1,100,25,0.9867807526720626,2306,485,39683,40168,20.747664889817315
spar100-025-2,100,25,0.9999995132528832,2332,393,37195,37588,30.499475693763088
spar100-025-3,100,25,0.9999996419199599,2468,466,30000,30466,22.491166788106057
spar100-050-1,100,50,0.9216999994924011,20119,2300,20000,22300,72.49793932668217
spar100-050-2,100,50,0.9427693150744991,18045,2336,30000,32336,68.65023740586548
spar100-050-3,100,50,0.9514062265559562,18378,2512,30000,32512,70.87570706441147
spar100-075-1,100,75,0.8738712193962873,64945,15825,40000,55825,89.08382068846367
spar100-075-2,100,75,0.879356610246256,63004,15448,40000,55448,87.11041260204547
spar100-075-3,100,75,0.8800374627277359,64757,15435,40000,55435,87.00410996169921
spar125-025-1,125,25,0.93052862238503,5219,1226,67452,68678,147.13519311247364
spar125-025-2,125,25,0.9722171490744527,5356,1143,58819,59962,130.02083742791547
spar125-025-3,125,25,0.9853001494967236,5212,1045,70000,71045,144.35757685430508
spar125-050-1,125,50,0.908820894385459,39432,9761,30000,39761,133.93540187623694
spar125-050-2,125,50,0.8970940911062967,40048,11876,40000,51876,168.85945177341273
spar125-050-3,125,50,0.9046508930585724,40525,11858,40000,51858,170.55197043272346
spar125-075-1,125,75,0.8634999891017033,133242,20113,50000,70113,273.4390046091012
spar125-075-2,125,75,0.8325684471378794,132145,20560,50000,70560,241.94952099382135
spar125-075-3,125,75,0.8473558877337107,129267,20598,50000,70598,265.1205245219535
