M+S^E_3 with selection size 0.1 comparison in terms of gap closed - total times at cut rounds - separation times at cut rounds and nb of sdp cuts added at cut rounds between opt - feas - comb - dense - rand
,,,,gap_closed_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,time_cut_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,sep_time_cut_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,nb_sdp_cuts_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
filename,size,density,nb_subproblems,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand
spar020-100-1,20,100,1051,0.5669789173151465,0.5148283895380711,0.5669789173151465,0.6593638289513645,0.47674610454599275,0.8457581032820114,0.8181345662619643,0.8457581032820114,0.902516114846811,0.7426996594436011,0.9320046580549496,0.9201323141060584,0.9386947400428493,0.9388688050991412,0.8336380269708712,0.9564668450473756,0.9569487462219319,0.9679428933436374,0.9576419505580882,0.8741080411471014,0.0397760969999581,0.03637509300006059,0.030569284000193875,0.009384846999864749,0.01174295460000394,0.02922574099989106,0.03953768399992441,0.03169138899988866,0.009617491000199152,0.01091230820002238,0.030131875000051878,0.04299375699997654,0.0344791099998929,0.008867575000067518,0.010945139999967069,0.029597860999956538,0.04055266799991841,0.05343862900008389,0.009297760999970706,0.010438793599951169,0.03422810600000048,0.03167743300014081,0.025219625000090673,0.0023823949998131866,0.007861922000029154,0.023110075999966284,0.031775531999983286,0.02551672200002031,0.00221201900012602,0.006512930000053529,0.02217056900008174,0.03210649600009674,0.026030919000049835,0.001901280000083716,0.0061736579999887905,0.021563807999882556,0.0319723630000226,0.044815144000040164,0.0018269129998316203,0.005668163999962417,105,105,105,11,97.0,105,105,105,10,73.4,84,105,105,9,63.0,71,105,105,8,48.0
spar020-100-2,20,100,1070,0.5873849303153982,0.5582285855992762,0.5873849303153982,0.7714784455264406,0.47752463385115984,0.7928630148074896,0.7454036521247711,0.7928630148074896,0.8844734562555291,0.6537014132384589,0.850791737070878,0.8290400392029427,0.8554438370417322,0.9107735729677789,0.7361610706570343,0.8677865899398159,0.8732826866950971,0.8769345427386532,0.926626548240983,0.7740175682348973,0.031223506000060297,0.04008935799993196,0.03190205500004595,0.010764375000235304,0.012584941200020693,0.03136123899980703,0.04373677099965789,0.03472400300006484,0.007838134999929025,0.01158260840006733,0.030646170999943934,0.04093431399996916,0.05633017300010579,0.008287289999998393,0.011141299800056004,0.030294699000251057,0.04170962500006681,0.055717928000149186,0.009965936000071451,0.009985867000068538,0.02457261700010349,0.033400585999970644,0.025316026000155034,0.0023133900001539587,0.00797929780001141,0.02348048499993638,0.03596052399984728,0.026165148000018235,0.0018220269998892036,0.006872886800010747,0.022732985999937227,0.03286865800009764,0.04729850099988653,0.0019125710000480467,0.006129240800055414,0.02223904000015864,0.032932810999909634,0.04589597200015305,0.0019624380001914687,0.005584122400068736,107,107,107,10,104.0,107,107,107,8,75.8,100,107,107,9,57.4,81,107,107,9,42.6
spar020-100-3,20,100,1086,0.5076708744622246,0.3776071357383057,0.5076708744622246,0.8398084730833029,0.5158239793663465,0.8260456060906117,0.7508662803103023,0.8260456060906117,0.961694859363071,0.7097780332068933,0.934938947713096,0.8702317322829168,0.9349399140303052,0.9885199137666558,0.8111046408718978,0.959000604700177,0.9234151403407583,0.9656043722403923,0.9987701196800978,0.8688429459324685,0.02830287999995562,0.03487963900010982,0.03081413499990049,0.010341065999682542,0.012346660200046244,0.0326572839999244,0.040349621999894225,0.03454921200000172,0.011069378999991386,0.011424553200049559,0.03391576599983637,0.043944139999894105,0.037012560999755806,0.009897869999804243,0.012105516200017518,0.03190455300000394,0.04247441400002572,0.05561601299996255,0.013689647000092009,0.011972072199932881,0.023051919999943493,0.03152698999997483,0.025667271999964214,0.0020947439998053596,0.0077826910000112545,0.023762532999853647,0.032401066999909744,0.02585763900015081,0.0019384370000352646,0.006804628600002615,0.02302596499998799,0.03181714999982432,0.026443778999919232,0.0017631379998874763,0.006551633000026413,0.02258004999998775,0.03202996899995014,0.045951886000011655,0.001788838000038595,0.006129727399957119,108,108,108,10,99.4,108,108,108,9,74.8,105,108,108,8,66.4,85,108,108,8,53.4
spar030-060-1,30,60,756,0.27695044794846174,0.19999470406321343,0.27695044794846174,-0.0,0.20716523885577062,0.6371030384931793,0.31114300315067417,0.6371030384931793,0.1904960263987583,0.36219728086677405,0.7345140086619998,0.5648835994425636,0.7378278307190718,0.3815440713184474,0.4948289479336041,0.7829740066867206,0.7068169633388895,0.7820577113984382,0.46596219385597526,0.5863827335206769,0.021295226000120238,0.02639631100009865,0.022839923999981693,0.01300721000006888,0.009611538799981644,0.028531803999840122,0.0268436080000356,0.02869667300024048,0.03379979599981198,0.009936868999966464,0.026864471000180856,0.031707221999795365,0.02857755700006237,0.041496664000078454,0.01194599760001438,0.02834244500013483,0.03416376700033652,0.04341408999994201,0.04229385300004651,0.013175722600090011,0.016458043000056932,0.022783762000017305,0.017976133000047412,0.006793330000164133,0.005329122600005576,0.017447115999857488,0.02327291200003856,0.018282029000147304,0.0056829579998520785,0.004808547199991154,0.01673440300010043,0.022300109999832785,0.018470597000032285,0.0052638150000348105,0.005055905599965627,0.016498921999982485,0.022195738000164056,0.03336742199985565,0.005365403000041624,0.004969955000024129,75,75,75,13,67.0,75,75,75,15,51.8,72,75,75,13,58.8,74,75,75,14,59.6
spar030-060-2,30,60,668,0.6528952365160563,0.3735085458342455,0.6528952365160563,-0.0,0.5338687694367963,0.9129373847805381,0.5194195881342815,0.9129373847805381,0.18438925287474958,0.760607243420246,0.9756506390548519,0.8322880627989159,0.9804141459068337,0.5393494348238362,0.8592887876220165,0.9971399206238568,0.8910157294325847,0.9981524263272814,0.656710472973358,0.9153782598117649,0.01976242099999581,0.02218337300018902,0.021543416999975307,0.012236546999929487,0.008371595799962961,0.021168107999983476,0.02137844000003497,0.02238318100012293,0.04487847099994724,0.007944135600018854,0.020349765000219122,0.024685958999953073,0.023897634000149992,0.04870287800008555,0.008952629800023714,0.018811927999877298,0.02506641800005127,0.03637055599983796,0.044428414999856614,0.008304315800023688,0.014190081999913673,0.019566951000115296,0.01602940199995828,0.005841986999939763,0.004581142400002136,0.014545942000040668,0.0194638110001506,0.01588448900020012,0.008438937999926566,0.004069302000061725,0.013670572000137327,0.01925731200003611,0.016142454000146245,0.006141120000165756,0.004225476600004186,0.0133125109998673,0.019527189999962502,0.028258918999881644,0.005806570000004285,0.0040247694000299815,66,66,66,14,55.8,66,66,66,17,45.0,55,66,66,15,40.4,44,66,66,14,41.0
spar030-060-3,30,60,1197,0.4577478489585409,0.3253803980960405,0.4577478489585409,0.04074575086029623,0.3471828627206648,0.7298792302746683,0.614288150624869,0.7298792302746683,0.40187332742586634,0.5356489870847178,0.8113077536321579,0.7793066097128855,0.8101923485618178,0.5350992168810651,0.6253468667862951,0.8293874574069957,0.8182085789414707,0.8362591362062396,0.606583333990715,0.6876311626562738,0.039532366999765145,0.042733274999818605,0.04126936600005138,0.019940297999937684,0.016094657799976632,0.042690754999966884,0.04773355899988019,0.04627839600016159,0.05220711599986316,0.015807178800059773,0.042983083999843075,0.05531426300012754,0.07143107599995346,0.04661725899973135,0.015406900600100925,0.039731289000201286,0.05406046500024786,0.06970143699982145,0.04527291700014757,0.016393266000113725,0.027020866999919235,0.03514564299985068,0.028951908000180993,0.006356958999958806,0.008552050199978112,0.025895745000070747,0.036566836000019975,0.028898021000031804,0.006538792999890575,0.007771470600027896,0.026133659999914016,0.03550487300003624,0.052526553999996395,0.006317357999932938,0.007111374000078286,0.025555889000088428,0.035329704000105266,0.052920792999884725,0.005715143000088574,0.006850902400083214,119,119,119,15,107.0,119,119,119,15,84.0,116,119,119,14,72.0,105,119,119,14,62.6
spar030-070-1,30,70,1200,0.2734274290339513,0.16930039505776226,0.2734274290339513,0.013290358754806757,0.2329797347350482,0.6183894378348639,0.42787157556528255,0.6183894378348639,0.25670150281061654,0.3982460797216276,0.7247576025617724,0.5504191023710043,0.7297730821924796,0.37843575517687916,0.5215276618761392,0.7538736001924368,0.7139112750061699,0.7585424869372794,0.47176464166604853,0.5847860005332712,0.033418997999888234,0.04090533700014021,0.036502015999985815,0.017067982000071424,0.014063194399977875,0.046296928000174375,0.045500474999926155,0.04845299800012981,0.0345766119999098,0.01597553199999311,0.05065885600015463,0.04662781999991239,0.05490893399996821,0.03681162499992752,0.022113940399867714,0.04672780300006707,0.06325565299994196,0.07207387699986612,0.05531901699987429,0.022671098199998595,0.026243793000048754,0.03580924000016239,0.02920520300017415,0.00648861400009082,0.008036704799951621,0.02735151400020186,0.03763176999996176,0.029142770000134988,0.0063388539999778,0.007917149600007178,0.026823729000170715,0.03624130999992303,0.030325033000053736,0.006409729000097286,0.008378409799888686,0.026738109999996595,0.0364587809999648,0.05231715299987627,0.00546629599989501,0.00824432220001654,120,120,120,14,98.8,120,120,120,15,86.2,107,120,120,14,99.6,108,120,120,14,93.0
spar030-070-2,30,70,1174,0.5397065027742963,0.47965955921097975,0.5397065027742963,0.04156136973517202,0.39709939849147086,0.8239519957432808,0.7529127773373969,0.8239519957432808,0.43898519263280206,0.6193515174066626,0.9065668753951629,0.8525695776593831,0.910389799121479,0.6769717452050543,0.745938302460727,0.9347354943873627,0.9117357266442336,0.9368557075641348,0.7542151977932048,0.8073182067911967,0.03548296099984327,0.04615457399995648,0.038055833000044004,0.016426027000079557,0.015849298200009798,0.040704615000095146,0.04840237299981709,0.04490957299981346,0.05553736999991088,0.015364691199965818,0.0392284770000515,0.05210948500007362,0.04470252300006905,0.04776525500005846,0.01660533980002583,0.038941215000022567,0.05273265099981472,0.06707969000012781,0.0556245579998631,0.01636357540000972,0.026366446999873006,0.03615299800003413,0.028856611000037447,0.006196964000082517,0.008586421800009703,0.02648473800013562,0.035775287999967986,0.030376429999932952,0.007025190999911501,0.007112517199993817,0.02518278200000168,0.03621225400002004,0.029119911000179854,0.0055986830000165355,0.00730013019992839,0.025500615000055404,0.034938347999968755,0.05222521400014557,0.0055895339999096905,0.00683242879995305,117,117,117,15,112.6,117,117,117,16,77.2,103,117,117,14,81.8,97,117,117,14,66.8
spar030-070-3,30,70,1470,0.5471039505017645,0.41838758095146183,0.5471039505017645,0.0906602443681593,0.49188286987402585,0.7872988701186011,0.7296222431661236,0.7872988701186011,0.5964038112135872,0.6683021989513805,0.8649265286095592,0.7702250188303053,0.8748262218549152,0.7182240754460328,0.7453761987591673,0.885078719587616,0.8656390710890329,0.8966539734687803,0.7681210438339308,0.7891132848463802,0.043933773000162546,0.05791853000005176,0.0467111890002343,0.01858010700016166,0.021848766800121665,0.04835612499982744,0.06712249799988967,0.05236805899994579,0.05273787199985236,0.01988883919998443,0.04830552400017041,0.0538019240000267,0.08232645099997171,0.04148313799987591,0.018198792400153253,0.047567502000219974,0.06748475899985351,0.08105374100000518,0.0449369600000864,0.018463421599972208,0.03245092400015892,0.049070677999907275,0.03523447100019439,0.006078556000147728,0.0108747988000232,0.032382535999886386,0.04943184699982339,0.036099620999948456,0.006055985999864788,0.00959788460004347,0.03163157200015121,0.04481966499997725,0.06378436099998908,0.005946562999952221,0.008435146400051963,0.031661637000070186,0.04373942699999134,0.06351607999999942,0.005563763000054678,0.007885614599990732,147,147,147,15,136.0,147,147,147,16,102.0,130,147,147,14,76.8,119,147,147,14,67.2
