M+S^E_3 with selection size 0.05 comparison in terms of gap closed - nb of sdp cuts added at cut rounds - nb of sdp cuts added based on the optimality measure between selection strategiescomb - feas
,,,,gap_closed_at_round_,_,_,_,_,_,_,_,nb_sdp_cuts_at_round_,_,_,_,_,_,_,_,nb_opt_cuts_at_round_,_,_,_,_,_,_,_
filename,size,density,nb_constraints,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb
q_20_0_100_1,20,100,0,0.44229255874693907,0.4418432714955457,0.5506538848776193,0.5956008188291686,0.6761052516505699,0.8517136685437334,0.8343362300925407,0.9021397685458673,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_0_100_2,20,100,0,0.37153067436290216,0.37550556372725546,0.42108370728729294,0.6919725541865683,0.5934761650338491,0.7438329545774109,0.7145668275068662,0.8015775404188848,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,25
q_20_0_100_3,20,100,0,0.32658635582560874,0.32472298131887023,0.3948425849025632,0.40932612638042837,0.5751128458669851,0.63210348534172,0.636097240088319,0.7121518895426662,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_0_100_4,20,100,0,0.307533616884011,0.34002015002923874,0.3692162136007351,0.5772550727096687,0.4825266163412933,0.6779610826849755,0.6296736950638192,0.7120537971808699,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,22
q_20_0_100_5,20,100,0,0.6232050693507426,0.5474971504414927,0.8094492821490693,0.8041522095891918,0.8740901544136943,0.8913549852979217,0.9141680949905229,0.9296202844197172,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,39
q_20_0_25_1,20,25,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q_20_0_25_2,20,25,0,0.07575951759254627,0.07575951759254627,0.10672447083897185,0.1905784936447269,0.1328542827070775,0.19144153931088598,0.2509982276430731,0.23320983768962855,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_0_25_3,20,25,0,0.021088096224798406,0.0035936176844149595,0.033363616903214495,0.012501995493186391,0.03875139216062636,0.034173857004262564,0.04344416168077567,0.039746829087150305,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_0_25_4,20,25,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q_20_0_25_5,20,25,0,0.3578264207605027,0.3578264207605027,0.6736999581037812,0.6736999581037812,0.6913245460530056,0.679440490325613,0.707075385394004,0.7119902860346655,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
q_20_0_50_1,20,50,0,1.0002586485612714,1.0002586485612621,1.0002586485612621,1.0002586485612621,1.0002586485612621,1.0002586485612621,1.0002586485612621,1.0002586485612621,8,8,8,0,8,0,8,0,0,8,0,0,0,0,0,0
q_20_0_50_2,20,50,0,0.4597806297697744,0.45839178550891585,0.49859237960344027,0.508854438917577,0.5249840184135212,0.532416347406516,0.5481014715528307,0.5448288531404212,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_0_50_3,20,50,0,0.9613923259884969,0.9766808324808901,0.9869131434219124,0.9981909494219258,1.000941867711155,1.0010222704036487,1.001024800069894,1.0010222704036342,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_0_50_4,20,50,0,0.12743056248727763,0.18016303199863923,0.1562530050652426,0.2827679579619221,0.26405242348243574,0.3796750330324278,0.3319131625892466,0.4257117967473698,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_0_50_5,20,50,0,0.6794911259618878,0.8354757474121421,0.9196966759886384,0.9858947316758779,0.9915999390838882,0.986955204771681,0.9990519774621937,0.9942313031594572,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
