Cut selection heuristic for M+triangle+S^E_3-5 with selection size 0.1 and up to 20 cut rounds
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts,time_total
spar020-100-1,20,100,0.9999999999999997,4106,527,596,1123,0.6611854069924448
spar020-100-2,20,100,0.9999999999989483,4270,1050,1013,2063,0.46693221299210563
spar020-100-3,20,100,1.0,4389,808,638,1446,0.3332860090013128
spar030-060-1,30,60,0.9999998263920079,488,144,3227,3371,0.5596680820162874
spar030-060-2,30,60,0.998914336296466,357,100,1625,1725,0.16146902900072746
spar030-060-3,30,60,0.9998555218057766,2683,782,3319,4101,0.8857543269987218
spar030-070-1,30,70,0.9919027373559717,2392,484,4512,4996,0.9079938569921069
spar030-070-2,30,70,0.9999988654781253,2277,284,2059,2343,0.29064391998690553
spar030-070-3,30,70,0.9943693215387479,3445,406,2432,2838,0.45317004100070335
spar030-080-1,30,80,0.9999941464033313,6754,817,5093,5910,1.1153837199963164
spar030-080-2,30,80,1.0,5281,710,2242,2952,0.4981718990020454
spar030-080-3,30,80,0.9999993448073466,7116,837,2402,3239,0.6418911879882216
spar030-090-1,30,90,1.0,10761,2056,3002,5058,1.05437811097363
spar030-090-2,30,90,0.9999695153488639,14583,2750,2503,5253,1.3665151159802917
spar030-090-3,30,90,0.9999999999999998,11600,2022,2394,4416,1.0867341599951033
spar030-100-1,30,100,0.9999999926108202,24461,4491,2216,6707,2.110901130014099
spar030-100-2,30,100,1.0,25602,4688,2181,6869,2.1559322850080207
spar030-100-3,30,100,0.9999605536239238,24806,3239,2213,5452,2.120471825997811
spar040-030-1,40,30,1.0,142,14,1242,1256,0.10960120498202741
spar040-030-2,40,30,0.9999999982702934,152,45,1360,1405,0.12790567899355665
spar040-030-3,40,30,1.0,165,16,1721,1737,0.1392126599967014
spar040-040-1,40,40,0.9979203368330144,247,120,6041,6161,0.9750123470148537
spar040-040-2,40,40,1.0,245,48,3624,3672,0.25034146700636484
spar040-040-3,40,40,0.9999999906926806,263,77,6071,6148,0.6542926770052873
spar040-050-1,40,50,0.9999705504209937,589,173,8891,9064,1.2128282630001195
spar040-050-2,40,50,0.9998661735347151,656,195,8552,8747,1.0084996950172354
spar040-050-3,40,50,0.9998747269697953,670,98,4480,4578,0.40262848799466155
spar040-060-1,40,60,0.9975091020143191,2085,1040,11354,12394,3.0108274319791235
spar040-060-2,40,60,0.9997626933798118,1549,400,5076,5476,0.7513256290112622
spar040-060-3,40,60,1.0,5300,542,4724,5266,1.045834163989639
spar040-070-1,40,70,1.0,8273,1385,7586,8971,1.14072048701928
spar040-070-2,40,70,1.0,7798,1362,7153,8515,1.123570527008269
spar040-070-3,40,70,0.9999999999999997,10436,1585,6861,8446,1.3193115849862806
spar040-080-1,40,80,1.0,21024,4047,7457,11504,2.187727588985581
spar040-080-2,40,80,1.0,19207,3329,7087,10416,2.0323750270181336
spar040-080-3,40,80,0.9994178434015245,27298,5245,7727,12972,2.875180556002306
spar040-090-1,40,90,1.0,39115,7519,6779,14298,3.6940587930148467
spar040-090-2,40,90,1.0,45646,8144,6361,14505,4.318022806983208
spar040-090-3,40,90,1.0000000000000004,44714,8488,6271,14759,4.148908442002721
spar040-100-1,40,100,0.9999947408935872,82645,9735,5321,15056,6.292430636007339
spar040-100-2,40,100,0.9999999999999999,85901,9897,4923,14820,6.443255924998084
spar040-100-3,40,100,0.9513113287478039,80164,7333,6216,13549,11.910956066014478
spar050-030-1,50,30,1.0,258,25,3623,3648,0.38886878298944794
spar050-030-2,50,30,0.9999998189160202,275,71,6231,6302,0.657694466994144
spar050-030-3,50,30,0.997568243181675,245,59,6130,6189,0.6281995059980545
spar050-040-1,50,40,1.0,452,133,11416,11549,1.5855160409992095
spar050-040-2,50,40,0.9999925986125312,574,171,10832,11003,1.5170479830121621
spar050-040-3,50,40,1.0,502,50,5543,5593,0.5763641950034071
spar050-050-1,50,50,0.9474087003180144,1836,989,14863,15852,5.264043025992578
spar050-050-2,50,50,1.0,1911,573,14421,14994,2.9454146979842335
spar050-050-3,50,50,0.9999628766702859,2394,717,15972,16689,5.242886020016158
spar060-020-1,60,20,1.0,224,44,4287,4331,0.5634702969982754
spar060-020-2,60,20,1.0,233,23,2778,2801,0.3042017539846711
spar060-020-3,60,20,1.0000000000000004,227,45,5518,5563,0.898654380987864
spar070-025-1,70,25,0.9998706263332675,465,134,12323,12457,1.9769885379937477
spar070-025-2,70,25,0.999999982313569,433,129,14158,14287,2.043153392995009
spar070-025-3,70,25,0.9997489332631979,510,151,11699,11850,1.9698644779855385
spar070-050-1,70,50,0.9958490761777974,10777,3429,32839,36268,15.36528345401166
spar070-050-2,70,50,0.9999999999971747,5439,1629,21831,23460,7.323850943008438
spar070-050-3,70,50,1.0000000000000009,8225,1644,20000,21644,4.196486108994577
spar070-075-1,70,75,0.9777503573442121,151974,7215,30000,37215,27.94184804998804
spar070-075-2,70,75,0.9485938255119306,135658,8860,37728,46588,43.229514951992314
spar070-075-3,70,75,0.9581914298522185,139771,6857,30000,36857,27.137280399998417
spar080-025-1,80,25,0.9999999999999998,680,204,19291,19495,3.919757797004422
spar080-025-2,80,25,0.9912001087400752,639,287,21263,21550,5.709965462010587
spar080-025-3,80,25,0.9995958397772601,692,207,20164,20371,3.8885488889936823
spar080-050-1,80,50,0.9495704213613506,24270,7034,46649,53683,35.172185689007165
spar080-050-2,80,50,0.999999964190379,15287,3056,20000,23056,7.633024037990253
spar080-050-3,80,50,0.9971603164519754,15395,6140,40000,46140,28.02694308498758
spar080-075-1,80,75,0.9564916060854557,254742,12653,40000,52653,70.86068876300124
spar080-075-2,80,75,0.9603854304704295,235366,11819,40000,51819,72.57673535798676
spar080-075-3,80,75,0.9551218865702337,252090,12760,40000,52760,74.88170181700843
spar090-025-1,90,25,0.9905394170795944,923,340,31111,31451,10.302793940994889
spar090-025-2,90,25,0.9933656602371864,865,320,30440,30760,11.391483353014337
spar090-025-3,90,25,0.9999997068077721,966,278,29344,29622,11.247935649997089
