Cut selection heuristic for M+triangle+S3_5 with selection size 0.1
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,nb_tri_cuts,nb_total_cuts,time_total
spar020-100-1,20,100,0.9999999999999997,4106,412,580,992,0.5335412182594155
spar020-100-2,20,100,0.9999999935713363,4270,684,679,1363,0.38594272059162904
spar020-100-3,20,100,1.0,4389,479,584,1063,0.30951175404698006
spar030-060-1,30,60,0.9999999346413312,488,144,3475,3619,0.5173527388560615
spar030-060-2,30,60,0.999885619366371,357,105,1666,1771,0.2017656237276242
spar030-060-3,30,60,0.9999854556054938,2683,802,3549,4351,1.1032550728887145
spar030-070-1,30,70,0.9873949583524977,2392,427,4695,5122,0.7281091659515369
spar030-070-2,30,70,0.9999992620318818,2277,343,2065,2408,0.26167165606420895
spar030-070-3,30,70,0.9940317838003907,3445,363,2725,3088,0.41984705837239744
spar030-080-1,30,80,0.9999930984275297,6754,799,5082,5881,1.0296832231597364
spar030-080-2,30,80,0.9999999999999992,5281,539,2286,2825,0.43570477544017194
spar030-080-3,30,80,0.9999994846103663,7116,843,2403,3246,0.6277593488302955
spar030-090-1,30,90,1.0,10761,1089,3002,4091,0.8948082896713458
spar030-090-2,30,90,0.9999695538365043,14583,1850,2503,4353,1.395800876280191
spar030-090-3,30,90,1.0,11600,1217,2453,3670,1.1493874305524514
spar030-100-1,30,100,0.9999999370579731,24461,3500,2216,5716,1.8331450824261992
spar030-100-2,30,100,0.9999999999999999,25602,3250,2181,5431,1.852531230675595
spar030-100-3,30,100,0.9999885889157144,24806,3713,2213,5926,2.014118218772637
spar040-030-1,40,30,1.0,142,14,1224,1238,0.13082099765597377
spar040-030-2,40,30,0.9999999982702923,152,45,1710,1755,0.13004712164911325
spar040-030-3,40,30,1.0,165,16,1563,1579,0.10269631223854958
spar040-040-1,40,40,0.9984390423805716,247,144,6305,6449,1.015043694183987
spar040-040-2,40,40,1.0000000000000004,245,48,3799,3847,0.21235001845525403
spar040-040-3,40,40,0.9999999803287357,263,78,5676,5754,0.7535419133400865
spar040-050-1,40,50,0.9999725095526311,589,170,8869,9039,1.1288154513949848
spar040-050-2,40,50,0.9998661735333073,656,193,8571,8764,0.935317987239614
spar040-050-3,40,50,0.9998747269697953,670,98,4185,4283,0.42434051263444417
spar040-060-1,40,60,0.9975051778780113,2085,1040,11349,12389,3.0268870230902394
spar040-060-2,40,60,0.9997646665186556,1549,397,4797,5194,0.8991198845687904
spar040-060-3,40,60,1.0000000000000013,5300,656,6445,7101,1.3355371172874584
spar040-070-1,40,70,1.0,8273,911,7586,8497,0.9853898321744055
spar040-070-2,40,70,1.0000000000000002,7798,780,7153,7933,0.9768382476304396
spar040-070-3,40,70,0.9999999999999997,10436,1043,6861,7904,1.150394098527613
spar040-080-1,40,80,0.9999999999999998,21024,3179,7457,10636,1.9409508338576416
spar040-080-2,40,80,1.0000000000000004,19207,2728,7087,9815,1.7485906648325908
spar040-080-3,40,80,0.9993560400249102,27298,2771,7980,10751,2.3692527048206102
spar040-090-1,40,90,1.0000000000000007,39115,6360,6779,13139,3.2833335929881287
spar040-090-2,40,90,1.0,45646,5566,6361,11927,3.5707837389563792
spar040-090-3,40,90,0.9999999999999998,44714,6857,6271,13128,3.542985921028958
spar040-100-1,40,100,0.9999947414084125,82645,6254,5321,11575,5.580624218035155
spar040-100-2,40,100,1.0,85901,6049,4923,10972,5.759738913469846
