size,density,opt_5_M+S^E_3,feas_5_M+S^E_3,diff_5_M+S^E_3,opt_10_M+S^E_3,feas_10_M+S^E_3,diff_10_M+S^E_3,M+tri,opt_M+S^E_3+tri,feas_M+S^E_3+tri,diff_feas_opt
Small,Low,87.53,91.12,3.5900000000000034,88.45,91.41,2.9599999999999937,98.98,99.93,99.97,0.03999999999999204
,Medium,85.4,87.74,2.339999999999989,86.28,87.86,1.5799999999999983,98.16,99.86,99.88,0.01999999999999602
,High,85.19,87.1,1.9099999999999966,85.9,87.13,1.2299999999999898,98.48,99.6,99.62,0.020000000000010232
Medium,Low,79.22,83.97,4.75,80.73,84.73,4.0,99.75,99.98,99.99,0.009999999999990905
,Medium,78.22,80.5,2.280000000000001,78.99,80.59,1.6000000000000085,97.72,98.53,98.54,0.010000000000005116
,High,72.17,73.26,1.0900000000000034,72.72,73.28,0.5600000000000023,92.72,94.5,94.5,0.0
Large,Low,73.25,76.8,3.549999999999997,74.41,77.46,3.049999999999997,98.81,99.5,99.53,0.030000000000001137
,Medium,75.5,77.51,2.010000000000005,76.26,77.55,1.289999999999992,97.15,97.96,97.98,0.020000000000010232
,High,70.13,70.97,0.8400000000000034,70.54,70.99,0.44999999999998863,90.06,91.36,91.35,-0.010000000000005116
Jumbo,Low,71.58,74.68,3.1000000000000085,72.41,75.0,2.5900000000000034,96.91,97.89,97.9,0.010000000000005116
,Medium,70.38,71.76,1.3800000000000097,70.94,71.78,0.8400000000000034,90.99,92.09,92.09,0.0
,High,66.63,67.36,0.730000000000004,66.77,67.37,0.6000000000000085,85.36,86.26,86.26,0.0
