size,density,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand
Small,Low, &41.2, &22.6, &41.2, &0.0, &23.8, &71.6, &42.9, &71.6, &0.0, &39.7, &81.5, &66.8, &81.8, &0.0, &50.8, &85.4, &78.4, &86.0, &0.0, &59.9, &0.01 (65\%), &0.02 (80\%), &0.02 (68\%), &0.02 (55\%), &0.01 (48\%), &0.02 (60\%), &0.02 (78\%), &0.02 (62\%), &0.04 (28\%), &0.01 (47\%), &0.02 (60\%), &0.02 (69\%), &0.02 (62\%), &0.08 (15\%), &0.01 (45\%), &0.01 (62\%), &0.02 (69\%), &0.02 (69\%), &0.14 (9\%), &0.01 (41\%)
,Medium, &39.7, &26.2, &39.7, &0.0, &30.7, &72.8, &50.3, &72.8, &0.0, &49.6, &81.6, &70.4, &81.8, &30.2, &60.9, &84.6, &80.0, &84.9, &44.9, &68.0, &0.05 (68\%), &0.05 (83\%), &0.05 (69\%), &0.02 (43\%), &0.02 (47\%), &0.06 (52\%), &0.06 (73\%), &0.06 (55\%), &0.08 (14\%), &0.02 (41\%), &0.06 (50\%), &0.07 (60\%), &0.07 (54\%), &0.13 (8\%), &0.02 (35\%), &0.06 (51\%), &0.08 (53\%), &0.09 (67\%), &0.14 (7\%), &0.03 (32\%)
,High, &41.8, &29.0, &41.8, &19.6, &39.5, &75.9, &65.1, &75.9, &62.1, &60.9, &83.4, &78.2, &83.5, &75.2, &70.3, &85.2, &84.0, &85.6, &81.2, &75.3, &0.13 (68\%), &0.15 (84\%), &0.14 (70\%), &0.06 (15\%), &0.06 (42\%), &0.23 (39\%), &0.22 (54\%), &0.24 (41\%), &0.13 (6\%), &0.1 (27\%), &0.27 (32\%), &0.32 (38\%), &0.34 (48\%), &0.15 (6\%), &0.11 (20\%), &0.23 (35\%), &0.35 (33\%), &0.36 (44\%), &0.16 (5\%), &0.11 (18\%)
Medium,Low, &33.9, &17.3, &33.9, &0.0, &17.5, &61.2, &38.6, &61.2, &0.0, &29.9, &71.6, &56.8, &71.7, &0.0, &40.0, &75.9, &67.4, &76.3, &0.0, &48.2, &0.03 (54\%), &0.03 (73\%), &0.03 (56\%), &0.08 (43\%), &0.01 (40\%), &0.03 (45\%), &0.03 (69\%), &0.04 (48\%), &0.2 (19\%), &0.01 (38\%), &0.03 (47\%), &0.03 (61\%), &0.04 (49\%), &0.38 (10\%), &0.01 (33\%), &0.03 (48\%), &0.04 (54\%), &0.04 (55\%), &0.54 (7\%), &0.02 (30\%)
,Medium, &27.3, &18.9, &27.3, &0.0, &23.7, &64.7, &46.3, &64.7, &0.0, &41.9, &74.4, &63.3, &74.5, &11.3, &53.3, &77.3, &73.8, &77.4, &26.6, &60.1, &0.18 (51\%), &0.18 (72\%), &0.19 (54\%), &0.13 (31\%), &0.09 (31\%), &0.41 (23\%), &0.26 (50\%), &0.42 (26\%), &0.4 (11\%), &0.13 (20\%), &0.49 (20\%), &0.44 (29\%), &0.54 (30\%), &1.35 (3\%), &0.2 (14\%), &0.45 (20\%), &0.61 (21\%), &0.55 (33\%), &1.8 (2\%), &0.24 (11\%)
,High, &29.2, &17.1, &29.2, &4.1, &34.2, &65.6, &51.5, &65.6, &35.2, &54.7, &71.7, &69.3, &71.4, &52.6, &62.5, &72.5, &72.3, &72.8, &62.9, &66.6, &1.17 (41\%), &0.96 (69\%), &1.25 (44\%), &0.6 (11\%), &0.82 (19\%), &5.32 (9\%), &3.19 (20\%), &5.37 (10\%), &2.73 (2\%), &2.43 (6\%), &7.18 (7\%), &8.67 (8\%), &7.62 (13\%), &3.66 (2\%), &3.52 (4\%), &5.83 (8\%), &9.34 (7\%), &9.19 (8\%), &4.94 (1\%), &3.66 (3\%)
Large,Low, &31.1, &13.9, &31.1, &0.0, &14.5, &55.5, &34.0, &55.5, &0.0, &25.8, &64.8, &51.2, &64.9, &0.0, &34.7, &69.2, &61.1, &69.5, &0.0, &42.3, &0.09 (38\%), &0.08 (60\%), &0.09 (40\%), &0.34 (29\%), &0.03 (28\%), &0.11 (30\%), &0.08 (55\%), &0.12 (32\%), &0.95 (11\%), &0.04 (27\%), &0.11 (32\%), &0.11 (44\%), &0.11 (34\%), &1.66 (7\%), &0.04 (24\%), &0.11 (30\%), &0.13 (36\%), &0.12 (34\%), &2.64 (4\%), &0.05 (19\%)
,Medium, &25.9, &15.2, &25.9, &0.0, &26.6, &64.5, &48.4, &64.5, &0.0, &46.7, &73.3, &64.0, &73.3, &11.4, &56.9, &75.4, &73.0, &75.6, &28.4, &62.6, &0.66 (37\%), &0.51 (67\%), &0.69 (41\%), &0.46 (24\%), &0.39 (20\%), &2.32 (11\%), &1.21 (29\%), &2.32 (12\%), &1.85 (6\%), &0.77 (9\%), &3.41 (7\%), &2.68 (13\%), &3.6 (12\%), &6.68 (2\%), &1.4 (5\%), &2.89 (9\%), &4.3 (8\%), &3.31 (15\%), &9.59 (1\%), &1.72 (4\%)
,High, &27.0, &15.8, &27.0, &3.8, &37.1, &64.2, &49.7, &64.2, &36.3, &55.9, &69.8, &65.8, &69.5, &53.9, &62.9, &70.4, &69.8, &70.6, &64.0, &66.4, &2.9 (31\%), &1.92 (64\%), &3.02 (33\%), &1.51 (8\%), &2.51 (12\%), &20.26 (4\%), &9.7 (12\%), &20.46 (5\%), &7.87 (1\%), &10.4 (3\%), &28.22 (3\%), &31.74 (4\%), &29.56 (6\%), &10.21 (1\%), &14.46 (1\%), &22.94 (4\%), &35.62 (4\%), &34.28 (4\%), &14.27 (1\%), &14.14 (1\%)
Jumbo,Low, &23.0, &13.6, &23.0, &0.0, &15.5, &52.3, &34.2, &52.3, &0.0, &27.2, &63.5, &51.1, &63.5, &0.0, &37.0, &68.1, &62.5, &68.2, &0.0, &44.7, &0.29 (29\%), &0.25 (47\%), &0.3 (32\%), &1.53 (16\%), &0.14 (18\%), &0.54 (16\%), &0.31 (38\%), &0.55 (17\%), &5.0 (5\%), &0.16 (15\%), &0.71 (13\%), &0.49 (24\%), &0.7 (14\%), &9.58 (3\%), &0.22 (11\%), &0.76 (11\%), &0.86 (14\%), &0.83 (18\%), &15.35 (2\%), &0.34 (8\%)
,Medium, &23.8, &14.3, &23.8, &0.0, &28.6, &62.2, &45.3, &62.2, &0.0, &48.4, &69.4, &62.6, &69.2, &14.2, &56.9, &70.6, &69.3, &70.9, &30.5, &61.6, &2.82 (24\%), &1.69 (54\%), &2.87 (25\%), &2.23 (12\%), &2.09 (10\%), &20.99 (3\%), &8.02 (11\%), &21.13 (4\%), &11.64 (2\%), &7.43 (3\%), &30.92 (2\%), &30.77 (3\%), &31.98 (4\%), &49.28 (1\%), &14.57 (1\%), &23.11 (3\%), &40.46 (2\%), &32.3 (4\%), &72.39 (0\%), &16.45 (1\%)
,High, &19.7, &9.8, &19.7, &4.1, &28.4, &56.7, &31.7, &56.7, &36.5, &47.2, &64.7, &48.5, &64.7, &54.0, &55.4, &66.4, &57.5, &66.5, &63.9, &59.8, &5.67 (32\%), &4.12 (65\%), &5.86 (34\%), &7.6 (4\%), &4.91 (7\%), &55.52 (3\%), &13.73 (19\%), &55.54 (4\%), &38.25 (1\%), &20.91 (2\%), &99.84 (2\%), &65.89 (4\%), &102.32 (3\%), &59.72 (0\%), &50.07 (1\%), &101.64 (2\%), &159.58 (2\%), &110.43 (4\%), &96.1 (0\%), &60.86 (0\%)
