size,density,opt_M+S^E_3,feas_M+S^E_3,opt_M+S^E_4,feas_M+S^E_4,opt_M+S^E_5,feas_M+S^E_5,|P^E_3|,|P^E_4|,|P^E_5|
Small,Low,88.45,91.41,88.83,94.66,87.11,94.64,389.0,248.0,196.0
,Medium,86.28,87.86,92.49,95.46,91.92,96.27,1250.0,1716.0,1084.0
,High,85.9,87.13,96.19,97.92,97.41,99.26,3104.0,13528.0,37998.0
Medium,Low,80.73,84.73,80.45,88.18,79.32,88.21,616.0,416.0,344.0
,Medium,78.99,80.59,88.95,91.75,89.32,93.53,3799.0,6131.0,3992.0
,High,72.72,73.28,90.63,92.33,92.25,96.29,21540.0,142302.0,543628.0
Large,Low,74.41,77.46,73.19,81.53,72.47,81.54,1473.0,896.0,784.0
,Medium,76.26,77.55,89.64,91.4,91.23,93.99,11055.0,25595.0,23142.0
,High,70.54,70.99,88.72,90.73,90.74,95.65,39022.0,316784.0,1490870.0
Jumbo,Low,72.41,75.0,73.37,80.98,71.89,81.15,3530.0,2195.0,1775.0
,Medium,70.94,71.78,86.91,88.58,88.87,92.06,27441.0,90216.0,115944.0
,High,66.77,67.37,86.25,87.76,0.0,0.0,91917.0,1013518.0,6551337.0
