size,density,S,S>,M+S,BGL,M+tri,M+tri+S^E_3,diff_BGL,diff_M+tri,M+tri+S^E_3-5,diff_BGL,diff_M+tri
Small,Low,80.65,99.11,99.29,99.51,98.98,99.93,85.71,93.14,99.97,93.88,97.06
,Medium,89.79,99.4,99.46,99.29,98.16,99.86,80.28,92.39,99.95,92.96,97.28
,High,94.15,99.76,99.8,99.13,98.48,99.6,54.02,73.68,99.76,72.41,84.21
Medium,Low,85.85,99.33,99.55,99.9,99.75,99.98,80.0,92.0,99.98,80.0,92.0
,Medium,93.0,98.77,98.86,98.01,97.72,98.53,26.13,35.53,99.03,51.26,57.46
,High,95.68,99.24,99.31,93.52,92.72,94.5,15.12,24.45,96.14,40.43,46.98
Large,Low,88.61,98.2,98.65,98.28,98.81,99.5,70.93,57.98,99.58,75.58,64.71
,Medium,94.96,99.05,99.25,97.48,97.15,97.96,19.05,28.42,98.73,49.6,55.44
,High,96.34,99.14,99.29,90.6,90.06,91.36,8.09,13.08,93.36,29.36,33.2
Jumbo,Low,92.9,98.35,98.84,96.28,96.91,97.89,43.28,31.72,98.07,48.12,37.54
,Medium,95.25,98.6,98.82,91.42,90.99,92.09,7.81,12.21,95.57,48.37,50.83
,High,96.67,98.96,99.16,85.68,85.36,86.26,4.05,6.15,86.26,4.05,6.15
